,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,A Young Doctor's Notebook,GB,1,65717,Jon Hamm,2,True,Older Doctor,doctor,2012,12
1,A Young Doctor's Notebook,GB,1,10980,Daniel Radcliffe,2,True,Young Doctor,doctor,2012,12
2,A Young Doctor's Notebook,GB,1,23429,Adam Godley,2,True,The Feldsher,doctor (probably),2012,12
3,A Young Doctor's Notebook,GB,1,1248292,Vicki Pepperdine,1,True,Anna,doctor (probably),2012,12
4,A Young Doctor's Notebook,GB,1,151949,Rosie Cavaliero,1,True,Pelageya,doctor (probably),2012,12
5,A Young Doctor's Notebook,GB,2,65717,Jon Hamm,2,True,Older Doctor,doctor,2013,11
6,A Young Doctor's Notebook,GB,2,10980,Daniel Radcliffe,2,True,Young Doctor,doctor,2013,11
7,A Young Doctor's Notebook,GB,2,23429,Adam Godley,2,True,The Feldsher,doctor (probably),2013,11
8,A Young Doctor's Notebook,GB,2,1248292,Vicki Pepperdine,1,True,Anna,doctor (probably),2013,11
9,A Young Doctor's Notebook,GB,2,151949,Rosie Cavaliero,1,True,Pelageya,doctor (probably),2013,11
