,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,All Saints,AU,1,1229664,Georgie Parker,3,True,Terri Sullivan,doctor (probably),1998,2
1,All Saints,AU,1,1229666,Jeremy Cumpston,2,True,Connor Costello,doctor (probably),1998,2
2,All Saints,AU,1,75489,Sam Healy,2,True,Jaz Hillerman,doctor (probably),1998,2
3,All Saints,AU,1,1213289,Martin Lynes,2,True,Luke Forlano,doctor (probably),1998,2
4,All Saints,AU,1,1219616,Judith McGrath,1,True,Von Ryan,doctor (probably),1998,2
5,All Saints,AU,1,1212867,Andrew McKaige,2,True,Peter Morrison,doctor (probably),1998,2
6,All Saints,AU,1,1229671,Libby Tanner,1,True,Bronwyn Craig,doctor (probably),1998,2
7,All Saints,AU,1,1229665,Ben Tari,2,True,Jared Levine,doctor (probably),1998,2
8,All Saints,AU,1,1212875,Kirrily White,0,True,Stephanie Markham,doctor (probably),1998,2
9,All Saints,AU,1,72134,Steve Jacobs,2,False,Dr Harry Williams,doctor,1998,2
10,All Saints,AU,1,139782,Angelo D'Angelo,2,False,Damien Carr,other,1998,2
11,All Saints,AU,1,3067,Gennie Nevinson,1,False,Mrs Levine,other,1998,2
12,All Saints,AU,1,2194632,Dinah Shearing,1,False,Judith Aston,other,1998,2
13,All Saints,AU,1,57799,Bill Young,2,False,Don McClusky,other,1998,2
14,All Saints,AU,1,75889,Michael Caton,2,False,Bob Parkin,other,1998,2
15,All Saints,AU,1,1239006,Brian Vriends,2,False,Ben Markham,other,1998,2
16,All Saints,AU,1,2553471,Terry Binding,1,False,Sister Jane Foster,other,1998,2
17,All Saints,AU,1,3026890,Geoff Cartwright,2,False,Dr Rob Bowen,doctor,1998,2
18,All Saints,AU,1,3308808,John Clingan,2,False,Intensivist,other,1998,2
19,All Saints,AU,1,215865,Belinda Cotterill,1,False,Angela Meadows,other,1998,2
20,All Saints,AU,1,3308809,John Griffiths,2,False,Anaesthetist,other,1998,2
21,All Saints,AU,1,1335090,Silvio Ofria,2,False,Luis Gonzalez,other,1998,2
22,All Saints,AU,1,2788597,Chin Yu,1,False,Mrs Cheng,other,1998,2
23,All Saints,AU,1,2206446,Elizabeth Maywald,1,False,Sophie Williams,other,1998,2
24,All Saints,AU,1,1807459,Alex Hughes,2,False,Tim Williams,other,1998,2
25,All Saints,AU,1,3308811,Ross Pirelli,2,False,James Williams,other,1998,2
26,All Saints,AU,1,62487,Michael Denkha,2,False,Mario Constantine,other,1998,3
27,All Saints,AU,1,76067,Laurence Breuls,1,False,Scott Chambers,other,1998,3
28,All Saints,AU,1,1233049,Jackson Raine,2,False,Dr James Wu,doctor,1998,3
