,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,Casualty,GB,1,3426,Derek Thompson,2,True,Charlie Fairhead,doctor (probably),1986,9
1,Casualty,GB,1,1788862,Debbie Roza,1,True,Susie Mercer,doctor (probably),1986,9
2,Casualty,GB,1,1788863,Colin Fisher,2,True,Sergeant Brenner,doctor (probably),1986,9
3,Casualty,GB,1,1228250,Julia Watson,1,True,Barbara 'Baz' Samuels,doctor (probably),1986,9
4,Casualty,GB,1,1411754,Lisa Bowerman,1,True,Sandra Mute,doctor,1986,9
5,Casualty,GB,1,116126,Christopher Rozycki,2,True,Kuba Trzcinski,doctor (probably),1986,9
6,Casualty,GB,1,2247,George Harris,2,True,Clive King,doctor (probably),1986,9
7,Casualty,GB,1,1422627,Bernard Gallagher,2,True,Ewart Plimmer,doctor (probably),1986,9
8,Casualty,GB,1,18345,Brenda Fricker,1,True,Megan Roach,doctor (probably),1986,9
9,Casualty,GB,1,47643,Robert Pugh,2,True,Andrew Ponting,doctor,1986,9
10,Casualty,GB,1,1770986,Catherine Shipton,1,True,Lisa 'Duffy' Duffin,doctor (probably),1986,9
11,Casualty,GB,1,1332577,Roger Ostime,2,False,Norman Parker,other,1986,9
12,Casualty,GB,1,3913,Phil McCall,2,False,Starchy Harris,other,1986,9
13,Casualty,GB,1,1736076,Emma Vansittart,1,False,Dannie Bennett,other,1986,9
14,Casualty,GB,1,79934,Trevor Cooper,2,False,Ralph,other,1986,9
15,Casualty,GB,1,124314,Al Hunter Ashton,2,False,Robert Palmer,other,1986,9
16,Casualty,GB,1,1212163,David Simeon,2,False,Bob Bates,other,1986,9
17,Casualty,GB,1,1050332,Zelah Clarke,1,False,Ruth White,other,1986,9
18,Casualty,GB,1,1229473,Paul Moriarty,2,False,Ray Blackwell,other,1986,9
19,Casualty,GB,1,1082299,Graham Fletcher-Cook,2,False,Kevin Blackwell,other,1986,9
20,Casualty,GB,1,1565168,John Flanagan,2,False,Det Sgt Fox,other,1986,9
21,Casualty,GB,1,158278,Patsy Smart,1,False,Winnie,other,1986,9
22,Casualty,GB,1,658,Alfred Molina,2,False,Harry Horner,other,1986,9
23,Casualty,GB,1,1408055,James Snell,2,False,Mr. Thalton,other,1986,9
24,Casualty,GB,1,134699,Stella Gonet,1,False,Dr. Clare Wainwright,doctor,1986,9
25,Casualty,GB,1,1181269,Sarah Moore,1,False,Carrie,other,1986,10
26,Casualty,GB,1,47520,Michael Culver,2,False,James,other,1986,10
27,Casualty,GB,1,1228665,Brian Bovell,2,False,Jed,other,1986,10
28,Casualty,GB,1,203093,Tyler Butterworth,2,False,Mark,other,1986,10
29,Casualty,GB,1,1211934,Nigel Anthony,2,False,Ted Roach,other,1986,10
30,Casualty,GB,1,175975,Derek Benfield,2,False,Mr. Davies,other,1986,10
31,Casualty,GB,1,1247740,Betty Alberge,1,False,Mrs. Davies,other,1986,10
32,Casualty,GB,1,1229839,Mark Jones,2,False,Tom,other,1986,10
33,Casualty,GB,1,1482567,Charles Lamb,2,False,Harry,other,1986,11
34,Casualty,GB,1,1348871,Wally Thomas,2,False,Lagger,other,1986,11
35,Casualty,GB,1,81600,Perry Fenwick,2,False,Marvin Osborne,other,1986,11
36,Casualty,GB,1,1536345,Victoria Hasted,1,False,Gillian Plimmer,other,1986,11
37,Casualty,GB,1,1498967,Shelley King,1,False,Rama Patel,other,1986,11
38,Casualty,GB,1,1006808,Elvis Payne,2,False,Henry McCartney,other,1986,12
39,Casualty,GB,1,129051,Harry Fowler,2,False,Terry,other,1986,12
40,Casualty,GB,1,1229135,Johanna Hargreaves,1,False,Gail McCartney,other,1986,12
41,Casualty,GB,1,210715,Sean Scanlan,2,False,Alex,other,1986,12
42,Casualty,GB,1,1757670,Christopher Douglas,2,False,Mr Radford,other,1986,12
43,Casualty,GB,1,80496,Roberta Tovey,1,False,Mrs. Radford,other,1986,12
44,Casualty,GB,1,1230693,Keith Jayne,2,False,Luke,other,1986,12
45,Casualty,GB,1,174524,Sebastian Abineri,2,False,David,other,1986,12
46,Casualty,GB,1,61584,John Forgeham,2,False,Sgt. Shaw,other,1986,12
47,Casualty,GB,1,1208202,Harold Goodwin,2,False,Mr. Collee,other,1986,12
48,Casualty,GB,1,1211895,Susan Jameson,1,False,Harriet,other,1986,12
49,Casualty,GB,2,3426,Derek Thompson,2,True,Charlie Fairhead,doctor (probably),1987,9
50,Casualty,GB,2,1211934,Nigel Anthony,2,True,Ted Roach,doctor (probably),1987,9
