,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,Chicago Med,US,1,979639,Nick Gehlfuss,2,True,Dr. Will Halstead,doctor,2015,11
1,Chicago Med,US,1,60033,Yaya DaCosta,1,True,April Sexton,doctor (probably),2015,11
2,Chicago Med,US,1,116278,Brian Tee,2,True,Dr. Ethan Choi,doctor,2015,11
3,Chicago Med,US,1,33296,Torrey DeVitto,1,True,Dr. Natalie Manning,doctor,2015,11
4,Chicago Med,US,1,1094635,Rachel DiPillo,1,True,Sarah Reese,doctor (probably),2015,11
5,Chicago Med,US,1,1232555,Marlyne Barrett,1,True,Maggie Lockwood,doctor (probably),2015,11
6,Chicago Med,US,1,1093632,Colin Donnell,2,True,Dr. Connor Rhodes,doctor,2015,11
7,Chicago Med,US,1,3978,S. Epatha Merkerson,1,True,Sharon Goodwin,doctor (probably),2015,11
8,Chicago Med,US,1,17485,Oliver Platt,2,True,Dr. Daniel Charles,doctor,2015,11
9,Chicago Med,US,1,1679833,Amy J. Carle,1,False,Dr. Patchefsky,doctor,2015,11
10,Chicago Med,US,1,1070031,Gregory Abbey,2,False,Joel Donahue,other,2015,11
11,Chicago Med,US,1,1197334,Marika Engelhardt,1,False,Beth Donahue,other,2015,11
12,Chicago Med,US,1,1733324,Audrey Francis,1,False,Margie Cavanaugh,other,2015,11
13,Chicago Med,US,1,1676845,Maria Rivera,1,False,Mariana Acosta,other,2015,11
14,Chicago Med,US,1,1431438,Adam Farabee,2,False,Jamie Delson,other,2015,11
15,Chicago Med,US,1,1230105,Rahm Emanuel,2,False,Himself,other,2015,11
16,Chicago Med,US,1,1858787,Sasha Rossof,1,False,Rachel Lewis,other,2015,11
17,Chicago Med,US,1,120583,Jon Bradford,2,False,David Lewis,other,2015,11
18,Chicago Med,US,1,1884734,Stephanie Diaz,1,False,Yolanda Cruz,other,2015,11
19,Chicago Med,US,1,1154231,Tonray Ho,1,False,Admitting Attendant,other,2015,11
20,Chicago Med,US,1,1884712,Alex Weisman,2,False,Chout,other,2015,11
21,Chicago Med,US,1,1885145,Kristie Berger,1,False,Linda Dilson,other,2015,11
22,Chicago Med,US,1,1885146,Audrey Morgan,1,False,Mary,other,2015,11
23,Chicago Med,US,1,1885147,Stephanie Monday,1,False,Anesthesiologist,medic,2015,11
24,Chicago Med,US,1,1885148,Devin Demby,2,False,Orderly,other,2015,11
25,Chicago Med,US,1,1885149,W. Matt Daniels,2,False,Gunshot Victim,other,2015,11
26,Chicago Med,US,1,240934,Brian Rife,2,False,Paramedic #1,medic,2015,11
27,Chicago Med,US,1,1885155,Nick Mayer,2,False,Paramedic #2,medic,2015,11
28,Chicago Med,US,1,1868649,Desmond Gray,2,False,Paramedic #3,medic,2015,11
29,Chicago Med,US,1,1860878,Cesar Jaime,2,False,Paramedic #4,medic,2015,11
30,Chicago Med,US,1,1682540,Miriam Lee,1,False,Paramedic #5,medic,2015,11
31,Chicago Med,US,1,27552,David Eigenberg,2,False,Christopher Herrmann,other,2015,11
32,Chicago Med,US,1,1371298,Kara Killmer,1,False,Sylvie Brett,other,2015,11
33,Chicago Med,US,1,1011102,Jesse Lee Soffer,2,False,Jay Halstead,other,2015,11
34,Chicago Med,US,1,1860871,Amanda Marcheschi,1,False,Nurse Dina,nurse,2015,11
35,Chicago Med,US,1,1719941,Lorena Diaz,1,False,Nurse Doris,nurse,2015,11
36,Chicago Med,US,1,1174795,Marc Grapey,2,False,Peter Kalmick,other,2015,11
37,Chicago Med,US,1,1218149,Brennan Brown,2,False,Dr. Sam Abrams,doctor,2015,11
38,Chicago Med,US,1,108696,Susie Abromeit,1,False,Zoe Roth,other,2015,11
39,Chicago Med,US,1,8873,Annie Potts,1,False,Helen,other,2015,11
40,Chicago Med,US,1,49271,Brian Geraghty,2,False,Sean Roman,other,2015,11
41,Chicago Med,US,1,1213094,Caroline Lagerfelt,1,False,Carol Donovan,other,2015,11
42,Chicago Med,US,1,19511,Larry Pine,2,False,Tom Donovan,other,2015,11
43,Chicago Med,US,1,1583618,Aislinn DeButch,1,False,Erika Dougherty,other,2015,11
44,Chicago Med,US,1,1885234,Thomas Kelly,2,False,Doug,other,2015,11
45,Chicago Med,US,1,1885235,Aemilia Scott,1,False,Jenna,other,2015,11
46,Chicago Med,US,1,1885237,Cydney Moody,1,False,Tara,other,2015,11
47,Chicago Med,US,1,1884699,Sarah Charipar,1,False,Dr. Savage,doctor,2015,11
48,Chicago Med,US,1,1885239,Philip E. Johnson,2,False,Dr. Czerny,doctor,2015,11
49,Chicago Med,US,1,1039285,Yelena Shmulenson,1,False,Dr. Rea Movitt,doctor,2015,11
50,Chicago Med,US,1,1885240,John Byrnes,2,False,Brent,other,2015,11
51,Chicago Med,US,1,1885241,Erin Noel Grennan,1,False,NICU Nurse,nurse,2015,11
52,Chicago Med,US,1,1885242,Vahishta Vafadari,1,False,Med Student,other,2015,11
53,Chicago Med,US,1,1885243,Armando Reyes,2,False,Chauffeur,other,2015,11
54,Chicago Med,US,1,87956,D.W. Moffett,2,False,Cornelius Rhodes,other,2015,11
55,Chicago Med,US,1,1570260,Jodi Kingsley,1,False,Madeline Gastern,other,2015,11
56,Chicago Med,US,1,1100549,Marina Squerciati,1,False,Kim Burgess,other,2015,11
57,Chicago Med,US,1,947574,Julie Berman,1,False,Dr. Sam Zanetti,doctor,2015,12
58,Chicago Med,US,1,69483,Christina Brucato,1,False,Claire Rhodes,other,2015,12
59,Chicago Med,US,1,1885244,Stephenie Park,1,False,Dylan,other,2015,12
60,Chicago Med,US,1,1603372,Jared Canfield,2,False,Trevor Jackson,other,2015,12
61,Chicago Med,US,1,1885245,Amber Page,1,False,Lauren Jackson,other,2015,12
62,Chicago Med,US,1,1885246,Steve O'Connell,2,False,Russell Rollins,other,2015,12
63,Chicago Med,US,1,1396309,David Parkes,2,False,Chairman Lindheim,other,2015,12
64,Chicago Med,US,1,1885247,Bradley Petty,2,False,X-Ray Tech,other,2015,12
65,Chicago Med,US,1,1332017,Brian Christensen,2,False,Jack,other,2015,12
66,Chicago Med,US,1,210271,Taylor Kinney,2,False,Kelly Severide,other,2015,12
67,Chicago Med,US,1,1863994,Jeremy Shouldis,2,False,Dr. Marty Peterson,doctor,2015,12
68,Chicago Med,US,1,224136,Dora Madison,1,False,Jessica Chilton,other,2015,12
69,Chicago Med,US,1,1885248,Joe Tapper,2,False,Rick Miller,other,2015,12
70,Chicago Med,US,1,1232623,Paul Fitzgerald,2,False,Bill Simms,other,2015,12
71,Chicago Med,US,1,1220815,Beth Chamberlin,1,False,Courtney Cole,other,2015,12
72,Chicago Med,US,1,1695508,Gus Birney,1,False,Ashley Cole,other,2015,12
73,Chicago Med,US,1,54830,Sophia Bush,1,False,Erin Lindsay,other,2015,12
74,Chicago Med,US,1,1885295,Joan Porter,1,False,Gertrude Kovach,other,2015,12
75,Chicago Med,US,1,1885297,Daniel Mozurkewich,2,False,Peter Wallace,other,2015,12
76,Chicago Med,US,1,1885300,Mary McDonald Kerr,1,False,Brenda Wallace,other,2015,12
77,Chicago Med,US,1,1885301,Shannon Parr,2,False,David Wallace,other,2015,12
78,Chicago Med,US,1,1514000,Adam Poss,2,False,Paramedic #5,medic,2015,12
79,Chicago Med,US,1,1885302,Michael Collins,2,False,News Anchor #1,other,2015,12
80,Chicago Med,US,1,1885304,Aaron Holland,2,False,Reporter #1,other,2015,12
81,Chicago Med,US,1,1885306,Darinka Lora-Stepan,1,False,Reporter #2,other,2015,12
82,Chicago Med,US,1,1885307,Catherine Dughi,1,False,Field Reporter,other,2015,12
83,Chicago Med,US,1,1885308,Michael Kevin Martin,2,False,Patient #1,other,2015,12
84,Chicago Med,US,1,1885310,Kathleen Puls Andrade,1,False,Patient #2,other,2015,12
85,Chicago Med,US,1,1885311,Joie Goodman,2,False,Server,other,2015,12
86,Chicago Med,US,1,1349483,Sara Holden,1,False,Lucy Simms,other,2015,12
87,Chicago Med,US,1,1885312,Connor Norris,2,False,Max Simms,other,2015,12
88,Chicago Med,US,1,221600,Monica Raymund,1,False,Gabriela Dawson,other,2016,1
89,Chicago Med,US,1,1396320,Robyn Coffin,1,False,Cindy Herrmann,other,2016,1
90,Chicago Med,US,1,1218180,Billy Smith,2,False,Michael Shepperd,other,2016,1
91,Chicago Med,US,1,1885314,Bria Cloyd,1,False,Nikki,other,2016,1
92,Chicago Med,US,1,1862264,Gordon Chow,2,False,Nurse Anthony,nurse,2016,1
93,Chicago Med,US,1,1885317,Chernise Yvette,1,False,Anesthesia Tech,other,2016,1
94,Chicago Med,US,1,1686481,Caitlin Chuckta,1,False,Tour Guide,other,2016,1
95,Chicago Med,US,1,1885318,Barton Fitzpatrick,2,False,GSW Patient,other,2016,1
96,Chicago Med,US,1,1501739,Thea Camara,1,False,Irma Dunn,other,2016,1
97,Chicago Med,US,1,1885321,Mercita Demonk,1,False,Carol,other,2016,1
98,Chicago Med,US,1,1885322,Natalie M. Meyer,1,False,Jessica,other,2016,1
99,Chicago Med,US,1,36091,Christian Stolte,2,False,Randall McHolland,other,2016,1
100,Chicago Med,US,1,1437564,Peter Mark Kendall,2,False,Joey Thomas,other,2016,1
101,Chicago Med,US,1,1885315,Camille Robinson,1,False,Nurse Tanya,nurse,2016,1
102,Chicago Med,US,1,1574522,Mia Park,1,False,Nurse Beth,nurse,2016,1
103,Chicago Med,US,1,1563211,Roland Buck III,2,False,Noah Sexton,other,2016,1
104,Chicago Med,US,1,1368157,Joe Minoso,2,False,Joe Cruz,other,2016,1
105,Chicago Med,US,1,1262789,Danielle Vega,1,False,Maria Gonzalez,other,2016,1
106,Chicago Med,US,1,1885325,Kaeden Saunders,2,False,Parker Kindler,other,2016,1
107,Chicago Med,US,1,1724589,Michael Aaron Lindner,2,False,Adam Kindler,other,2016,1
