,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,Coroner,CA,1,86268,Serinda Swan,1,True,Dr. Jenny Cooper,doctor,2019,1
1,Coroner,CA,1,25877,Roger Cross,2,True,Donovan McAvoy,doctor (probably),2019,1
2,Coroner,CA,1,1522498,Ehren Kassam,2,True,Ross Kalighi,doctor (probably),2019,1
3,Coroner,CA,1,559582,Éric Bruneau,2,True,Liam Bouchard,doctor (probably),2019,1
4,Coroner,CA,1,1927708,Lovell Adams-Gray,2,True,Dr. Dwayne Allen,doctor,2019,1
5,Coroner,CA,1,220615,Tamara Podemski,1,True,Alison Trent,doctor (probably),2019,1
6,Coroner,CA,1,1016142,Saad Siddiqui,2,True,Dr. Neil Sharma,doctor,2019,1
7,Coroner,CA,1,2098740,Tavaree Daniel-Simms,2,False,Saddiq 'Sneax' Fenton,other,2019,1
8,Coroner,CA,1,2001408,Natalie Jane,1,False,Danielle Wills,other,2019,1
9,Coroner,CA,1,2137841,Jesse Adam Lowell,2,False,Kevin Knuckles,other,2019,1
10,Coroner,CA,1,937793,Allison Brennan,1,False,Simone Wills,other,2019,1
11,Coroner,CA,1,1520847,Lauren Piech,1,False,Elaine Morse,other,2019,1
12,Coroner,CA,1,131546,Thomas Mitchell,2,False,Hawk,other,2019,1
13,Coroner,CA,1,1017085,Brian Bisson,2,False,Reynolds,other,2019,1
14,Coroner,CA,1,2210739,Michael Delaney,2,False,Scruffy Dude,other,2019,1
15,Coroner,CA,1,2210740,Michael Wacholtz,2,False,Mike Knuckles,other,2019,1
16,Coroner,CA,1,1813355,Monika Schurmann,1,False,Gina Knuckles,other,2019,1
17,Coroner,CA,1,2210741,Sheila Isaro,1,False,Tall Girl,other,2019,1
18,Coroner,CA,1,1731491,Clare McConnell,1,False,Erin Martin,other,2019,1
19,Coroner,CA,1,44208,Nigel Bennett,2,False,Bryan Da Silva,other,2019,1
20,Coroner,CA,1,1682052,Alli Chung,1,False,Taylor Kim,other,2019,1
21,Coroner,CA,1,44275,Rosemary Dunsmore,1,False,Mrs. Panych,other,2019,1
22,Coroner,CA,1,1912290,Michael Healey,2,False,Dr. Ian Peterson,doctor,2019,1
23,Coroner,CA,1,1962533,Kiley May,1,False,River Baitz,other,2019,1
24,Coroner,CA,1,80184,Jeananne Goossen,1,False,Sabina,other,2019,1
25,Coroner,CA,1,1796395,Sebastian Naskrent,2,False,Victor Stenton,other,2019,1
26,Coroner,CA,1,1648936,Paniz Zade,1,False,Shanti Laghari,other,2019,1
27,Coroner,CA,1,2219371,Ethan Nekram,2,False,Luke Stenton,other,2019,1
28,Coroner,CA,1,1545865,Adam Kenneth Wilson,2,False,Gustav 'Gus' Prisciac,other,2019,1
29,Coroner,CA,1,1689143,Alanna Bale,1,False,Lauren Foster,other,2019,1
30,Coroner,CA,1,64513,Sean Baek,2,False,Lawrence,other,2019,1
