,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,Der Bergdoktor,AT,1,233992,Hans Sigl,2,True,Martin Gruber,doctor (probably),2008,2
1,Der Bergdoktor,AT,1,36490,Monika Baumgartner,1,True,Elisabeth Gruber,doctor (probably),2008,2
2,Der Bergdoktor,AT,1,21831,Mark Keller,2,True,Alexander Kahnweiler,doctor (probably),2008,2
3,Der Bergdoktor,AT,1,1478072,Heiko Ruprecht,2,True,Hans Gruber,doctor (probably),2008,2
4,Der Bergdoktor,AT,1,1478073,Natalie O'Hara,1,True,Susanne Dreiseitl,doctor,2008,2
5,Der Bergdoktor,AT,1,49195,Ronja Forcher,1,True,Lilli Gruber,doctor (probably),2008,2
6,Der Bergdoktor,AT,1,35826,Siegfried Rauch,2,True,Roman Melchinger,doctor (probably),2008,2
7,Der Bergdoktor,AT,1,48240,Rebecca Immanuel,1,True,Vera Fendrich,doctor,2008,2
8,Der Bergdoktor,AT,1,44641,Timothy Peach,2,False,Peter Meinrad,other,2008,2
9,Der Bergdoktor,AT,1,36759,Peter Weiß,2,False,Anton Lechner,other,2008,2
10,Der Bergdoktor,AT,1,1188461,Angela Ascher,1,False,Claudia Meinrad,other,2008,2
11,Der Bergdoktor,AT,1,2525547,Lukas Lobis,2,False,Anästhesist,other,2008,2
12,Der Bergdoktor,AT,1,1114391,Mareike Fell,1,False,Christina Pagel,other,2008,2
13,Der Bergdoktor,AT,1,46661,Hermann Giefer,2,False,Franz,other,2008,2
14,Der Bergdoktor,AT,1,2517765,Jörn Hinrichs,2,False,Günther,other,2008,2
15,Der Bergdoktor,AT,1,1405125,Severin Sonntag,2,False,Lorenz,other,2008,2
16,Der Bergdoktor,AT,1,1323750,Barbara Bauer,1,False,Karin,other,2008,2
17,Der Bergdoktor,AT,1,1167136,Mariella Ahrens,1,False,Julia Denson,other,2008,2
18,Der Bergdoktor,AT,1,562654,Miroslav Nemec,2,False,Marcus Wendt,other,2008,2
19,Der Bergdoktor,AT,1,50041,Leopold Hornung,2,False,Henryk Wendt,other,2008,2
20,Der Bergdoktor,AT,1,2368472,Günther Götsch,2,False,Sponsor,other,2008,2
21,Der Bergdoktor,AT,1,47345,Gerd Silberbauer,2,False,Julius Hofmeister,other,2008,2
22,Der Bergdoktor,AT,1,49273,Reinhard Forcher,2,False,Gemeinderat Hintermeier,other,2008,2
23,Der Bergdoktor,AT,1,2082394,Reinhard Exenberger,2,False,Gemeinderat Beisitzer 1,other,2008,2
24,Der Bergdoktor,AT,1,1675274,Lea Faßbender,1,False,Frani,other,2008,3
25,Der Bergdoktor,AT,1,5207,Marlon Kittel,2,False,Tobias,other,2008,3
26,Der Bergdoktor,AT,1,34646,Alexander Radszun,2,False,Militärpolizist 1,other,2008,3
27,Der Bergdoktor,AT,1,1819628,Markus Ertelt,2,False,Militärpolizist 2,other,2008,3
28,Der Bergdoktor,AT,1,36028,Michael Hinz,2,False,Xaver Prechtl,other,2008,3
29,Der Bergdoktor,AT,1,11611,Laura Tonke,1,False,Andrea,doctor,2008,3
30,Der Bergdoktor,AT,1,1825414,Anna Luise Kiss,1,False,Ina,other,2008,3
31,Der Bergdoktor,AT,1,1193800,David Zimmerschied,2,False,Christopher,other,2008,3
32,Der Bergdoktor,AT,1,38970,Thomas Balou Martin,2,False,,other,2008,3
33,Der Bergdoktor,AT,1,1345994,Luise Deschauer,1,False,Elfriede Wörndl,other,2008,3
34,Der Bergdoktor,AT,1,19913,Andreas Guenther,2,False,Udo,other,2008,3
35,Der Bergdoktor,AT,1,1244894,Joram Voelklein,2,False,Rainer,other,2008,3
36,Der Bergdoktor,AT,1,233792,Daniel Wiemer,2,False,Simon,other,2008,3
37,Der Bergdoktor,AT,1,1820125,Michael Vogtmann,2,False,,other,2008,3
38,Der Bergdoktor,AT,1,36501,Karin Thaler,1,False,Tanja Grünert,other,2008,4
39,Der Bergdoktor,AT,1,1076585,Siemen Rühaak,2,False,Carsten Grünert,other,2008,4
40,Der Bergdoktor,AT,1,1815844,Romana Pollak,1,False,,other,2008,4
41,Der Bergdoktor,AT,1,49062,Konstantin Graudus,2,False,Jörg Dreiseitl,doctor,2008,4
42,Der Bergdoktor,AT,2,233992,Hans Sigl,2,True,Martin Gruber,doctor (probably),2009,1
43,Der Bergdoktor,AT,2,36490,Monika Baumgartner,1,True,Elisabeth Gruber,doctor (probably),2009,1
44,Der Bergdoktor,AT,2,21831,Mark Keller,2,True,Alexander Kahnweiler,doctor (probably),2009,1
45,Der Bergdoktor,AT,2,1478072,Heiko Ruprecht,2,True,Hans Gruber,doctor (probably),2009,1
46,Der Bergdoktor,AT,2,1478073,Natalie O'Hara,1,True,Susanne Dreiseitl,doctor,2009,1
47,Der Bergdoktor,AT,2,49195,Ronja Forcher,1,True,Lilli Gruber,doctor (probably),2009,1
48,Der Bergdoktor,AT,2,35826,Siegfried Rauch,2,True,Roman Melchinger,doctor (probably),2009,1
49,Der Bergdoktor,AT,2,48240,Rebecca Immanuel,1,True,Vera Fendrich,doctor,2009,1
50,Der Bergdoktor,AT,2,1824151,Ines Lutz,1,True,Anne Meierling,doctor (probably),2009,1
51,Der Bergdoktor,AT,2,49200,Denise Zich,1,False,Marja Otto,other,2009,1
52,Der Bergdoktor,AT,2,1195040,Leander Lichti,2,False,Sebastian Wegner,other,2009,1
53,Der Bergdoktor,AT,2,3119822,Kristin Sikder,1,False,Saskia,other,2009,1
54,Der Bergdoktor,AT,2,1435924,Jonas Lovis Kemmler,2,False,Paul,other,2009,1
55,Der Bergdoktor,AT,2,149127,Andreas Thiele,2,False,Tom,other,2009,1
56,Der Bergdoktor,AT,2,49062,Konstantin Graudus,2,False,Jörg Dreiseitl,doctor,2009,1
57,Der Bergdoktor,AT,2,10237,Julia Jäger,1,False,Sabine Lofer,other,2009,1
58,Der Bergdoktor,AT,2,34297,Ingo Naujoks,2,False,Michael Lofer,other,2009,1
59,Der Bergdoktor,AT,2,2435658,Thomas Winter,2,False,Herr Lammers,other,2009,1
