,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,Der Landarzt,DE,1,1231908,Christian Quadflieg,2,True,Karsten Mattiesen,doctor (probably),1987,2
1,Der Landarzt,DE,1,19235,Gerhard Olschewski,2,True,Hinnerk Alfred Hinnerksen,doctor (probably),1987,2
2,Der Landarzt,DE,1,38053,Heinz Reincke,2,True,Albert Eckholm,doctor (probably),1987,2
3,Der Landarzt,DE,1,1090603,Antje Weisgerber,1,True,Olga Mattiesen,doctor (probably),1987,2
4,Der Landarzt,DE,1,26911,Gert Haucke,2,True,Bruno Hanusch,doctor (probably),1987,2
5,Der Landarzt,DE,1,1320445,Jens Scheiblich,2,True,Karl Heitmann,doctor (probably),1987,2
6,Der Landarzt,DE,1,1258581,Katharina Lehmann,1,True,Kerstin Mattiesen,doctor (probably),1987,2
7,Der Landarzt,DE,1,37386,Hans Georg Panczak,2,True,Mark Bohm,doctor (probably),1987,2
8,Der Landarzt,DE,1,1310540,Gerda Gmelin,1,True,Berta Rogalla,doctor (probably),1987,2
9,Der Landarzt,DE,1,1183601,Eva Maria Bauer,1,True,Charlotte Sellmann,doctor (probably),1987,2
10,Der Landarzt,DE,1,1175732,Fritz Hollenbeck,2,True,Fritz Asmussen,doctor (probably),1987,2
11,Der Landarzt,DE,1,42400,Gila von Weitershausen,1,True,Annemarie Mattiesen,doctor (probably),1987,2
12,Der Landarzt,DE,1,19525,Gisela Trowe,1,True,Bea Cornelsen,doctor (probably),1987,2
13,Der Landarzt,DE,1,1183603,Volker Brandt,2,True,Lasse Grünberg,doctor (probably),1987,2
14,Der Landarzt,DE,1,548160,Hendrik Martz,2,True,Eike Mattiesen,doctor (probably),1987,2
15,Der Landarzt,DE,1,1370724,Katharina Köhntopp,1,True,Gudrun Helgert,doctor,1987,2
16,Der Landarzt,DE,1,48423,Wolf-Dietrich Berg,2,True,Anton Fletsch,doctor (probably),1987,2
17,Der Landarzt,DE,1,41683,Evelyn Hamann,1,True,Thea Knoll,doctor (probably),1987,2
18,Der Landarzt,DE,1,233979,Lutz Mackensy,2,True,Hagen Dröge,doctor,1987,2
19,Der Landarzt,DE,1,1324601,Karina Thayenthal,1,True,Jutta Wegener,doctor (probably),1987,2
20,Der Landarzt,DE,1,38297,Luise Bähr,1,True,Ramona Merkel,doctor (probably),1987,2
21,Der Landarzt,DE,1,64020,Beatrice Kessler,1,True,Corinna Grünberg,doctor (probably),1987,2
22,Der Landarzt,DE,1,221095,Peter Heinrich Brix,2,True,Albert,doctor (probably),1987,2
23,Der Landarzt,DE,1,1332833,Joseline Gassen,1,True,Grete Hinnerksen,doctor (probably),1987,2
24,Der Landarzt,DE,1,10625,Andrea Schober,1,True,Inken,doctor (probably),1987,2
25,Der Landarzt,DE,1,1799541,Regine Lamster,1,False,Frau Buschmann-Ratjen,other,1987,2
26,Der Landarzt,DE,1,26332,Friedrich Schütter,2,False,Herr Sellmann,other,1987,2
27,Der Landarzt,DE,1,1179180,Ursula Diestel,1,False,Frau am Aufzug,other,1987,2
28,Der Landarzt,DE,1,48988,Almut Eggert,1,False,Antje,other,1987,2
29,Der Landarzt,DE,1,25487,Edgar Hoppe,2,False,Herr Larsen,other,1987,2
30,Der Landarzt,DE,1,5232,Martin May,2,False,Mann auf Brücke,other,1987,2
31,Der Landarzt,DE,1,1357410,Sönke Schütt,2,False,Polizist,other,1987,2
32,Der Landarzt,DE,1,1556186,Wolfram Schaerf,2,False,Verleger Wilhelm Fletsch,other,1987,2
33,Der Landarzt,DE,1,1168622,Petra Verena Milchert,1,False,Astrid,other,1987,2
34,Der Landarzt,DE,1,1348768,Nikolaus Schilling,2,False,Apotheker Janssen,other,1987,2
35,Der Landarzt,DE,1,234386,Hans Häckermann,2,False,Bürgermeister,other,1987,2
36,Der Landarzt,DE,1,27613,Eckart Dux,2,False,Familienrichter Klissmann,other,1987,2
37,Der Landarzt,DE,1,1168172,Peter Fricke,2,False,Dr. Michael Petersen,doctor,1987,2
