,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,Die Rettungsflieger,DE,1,1455674,Matthias Leja,2,True,Hauptmann Alexander Karuhn,doctor (probably),1997,2
1,Die Rettungsflieger,DE,1,1270893,Ulrich Bähnk,2,True,Oberbootsmann Thomas Asmus,doctor (probably),1997,2
2,Die Rettungsflieger,DE,1,48513,Gerit Kling,1,True,Dr. Maren Maibach,doctor,1997,2
3,Die Rettungsflieger,DE,1,1127787,Frank Stieren,2,True,Max Westphal,doctor (probably),1997,2
4,Die Rettungsflieger,DE,1,1494404,Kira von Maydell,1,False,Karin Berthold,other,1997,2
5,Die Rettungsflieger,DE,1,1721114,Caroline Redl,1,False,Lisa Heitmann,other,1997,2
6,Die Rettungsflieger,DE,1,49016,Guntbert Warns,2,False,Manfred Heitmann,other,1997,2
7,Die Rettungsflieger,DE,1,1325638,Eva Maria Kerkhoff,1,False,Dorothea Karuhn,other,1997,2
8,Die Rettungsflieger,DE,1,1831190,Vera Lohr,1,False,Krankenschwester,other,1997,2
9,Die Rettungsflieger,DE,1,1133619,Siegfried Terpoorten,2,False,Boris Kruhl,other,1998,1
10,Die Rettungsflieger,DE,1,36568,Jürgen Janza,2,False,Herr Kruhl,other,1998,1
11,Die Rettungsflieger,DE,1,1391306,Ulrich Wiggers,2,False,Dr. Bernard Maibach,doctor,1998,2
12,Die Rettungsflieger,DE,1,1831201,Wilfried Zander,2,False,Kapitän,other,1998,2
13,Die Rettungsflieger,DE,1,1290232,Robert Zimmerling,2,False,Herr Goll,other,1998,2
14,Die Rettungsflieger,DE,1,1831205,Natascha Graf,1,False,Ute Asmus,other,1998,2
15,Die Rettungsflieger,DE,1,1831207,Petra Schoettler,1,False,Bibi,other,1998,2
16,Die Rettungsflieger,DE,1,41776,Veit Stübner,2,False,Michael Packert,other,1998,2
17,Die Rettungsflieger,DE,1,1831206,Tobias Pippig,2,False,Joschi Asmus,other,1998,2
18,Die Rettungsflieger,DE,1,17405,Martin Feifel,2,False,Sportflieger,other,1997,2
19,Die Rettungsflieger,DE,1,1011172,Barbara Focke,1,False,Mutter,other,1997,2
20,Die Rettungsflieger,DE,1,1326736,Ursula Staack,1,False,Dr. Brauer,doctor,1997,2
21,Die Rettungsflieger,DE,1,1826421,Ulli Lothmanns,2,False,Anstaltsarzt,other,1998,2
22,Die Rettungsflieger,DE,1,1166748,Karina Marmann,1,False,Frau Mohr,other,1998,2
23,Die Rettungsflieger,DE,1,50686,Luca Maric,2,False,Entführer,other,1998,2
24,Die Rettungsflieger,DE,1,1831215,Vijak Bayani,0,False,Shirin,other,1998,3
25,Die Rettungsflieger,DE,1,1117351,Hans-Dieter Brückner,0,False,Martin,other,1998,3
26,Die Rettungsflieger,DE,1,146071,Henryk Nolewajka,2,False,Maschinist,other,1998,3
27,Die Rettungsflieger,DE,1,1109972,J.J. Straub,2,False,Kapitän,other,1998,3
28,Die Rettungsflieger,DE,2,1455674,Matthias Leja,2,True,Hauptmann Alexander Karuhn,doctor (probably),1999,1
29,Die Rettungsflieger,DE,2,48513,Gerit Kling,1,True,Dr. Maren Maibach,doctor,1999,1
30,Die Rettungsflieger,DE,2,1127787,Frank Stieren,2,True,Max Westphal,doctor (probably),1999,1
31,Die Rettungsflieger,DE,2,1326861,Oliver Hörner,2,True,Jan Wollcke,doctor (probably),1999,1
32,Die Rettungsflieger,DE,2,16243,Rolf Becker,2,False,Bruno Schulz,other,1999,1
33,Die Rettungsflieger,DE,2,1324913,Bojana Golenac,1,False,Amelie,other,1999,1
