,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,Doctor Doctor,AU,1,1228880,Rodger Corser,2,True,Hugh Knight,doctor (probably),2016,9
1,Doctor Doctor,AU,1,1235032,Nicole da Silva,1,True,Charlie,doctor (probably),2016,9
2,Doctor Doctor,AU,1,78570,Ryan Johnson,2,True,Matt Knight,doctor (probably),2016,9
3,Doctor Doctor,AU,1,220442,Hayley McElhinney,1,True,Penny,doctor (probably),2016,9
4,Doctor Doctor,AU,1,1228899,Belinda Bromilow,1,True,Betty,doctor (probably),2016,9
5,Doctor Doctor,AU,1,1687354,Shalom Brune-Franklin,1,True,Aoife,doctor (probably),2016,9
6,Doctor Doctor,AU,1,152485,Tina Bursill,1,True,Meryl Knight,doctor (probably),2016,9
7,Doctor Doctor,AU,1,45211,Steve Bisley,2,True,Jim Knight,doctor (probably),2016,9
8,Doctor Doctor,AU,1,1687353,Matt Castley,2,True,Ajax,doctor (probably),2016,9
9,Doctor Doctor,AU,1,1445875,Chloe Bayliss,1,True,Hayley,doctor (probably),2016,9
10,Doctor Doctor,AU,1,1687355,Charles Wu,2,True,Ken,doctor (probably),2016,9
11,Doctor Doctor,AU,1,2611667,Sarah Armanious,1,False,Emergency Doctor,doctor,2016,9
12,Doctor Doctor,AU,1,2090251,Giselle Da Silva,1,False,Nurse,nurse,2016,9
13,Doctor Doctor,AU,1,2630024,Cheyne Neighbour,0,False,Johnny,other,2016,9
14,Doctor Doctor,AU,1,1742240,Aileen Beale,1,False,Dr. Koutofides,doctor,2016,9
15,Doctor Doctor,AU,1,2630031,Ingrid Schlig,1,False,Overdose Woman,other,2016,9
16,Doctor Doctor,AU,1,558468,Patrick Cullen,2,False,Male Patient,other,2016,9
17,Doctor Doctor,AU,1,1648822,Michael Kotsohilis,2,False,Fifo Worker,other,2016,9
18,Doctor Doctor,AU,1,2617138,Patrick Chong-Nee,2,False,Brewery Employee,other,2016,9
19,Doctor Doctor,AU,1,1394426,Savannah Lamble,1,False,Jesse,other,2016,9
20,Doctor Doctor,AU,1,2390448,Emily Eskell,1,False,Gabrielle,other,2016,9
21,Doctor Doctor,AU,1,2630036,Jai Carlson,2,False,Kid,other,2016,9
22,Doctor Doctor,AU,1,2630038,Aaron Smith,2,False,Stabbing Victim,other,2016,9
23,Doctor Doctor,AU,1,106820,Zoe Carides,1,False,Jill,other,2016,9
24,Doctor Doctor,AU,1,1498889,Michelle Lim Davidson,1,False,Becky,other,2016,9
25,Doctor Doctor,AU,1,1641430,Dave Eastgate,2,False,Joey,other,2016,9
26,Doctor Doctor,AU,1,83772,John Batchelor,2,False,Nathan,other,2016,9
27,Doctor Doctor,AU,1,1864045,Wadih Dona,2,False,Dr. Ogilvy,doctor,2016,9
28,Doctor Doctor,AU,1,1322876,Brandon Burke,2,False,Dr Burke,doctor,2016,9
29,Doctor Doctor,AU,1,1292552,Winta McGrath,2,False,Floyd,other,2016,9
30,Doctor Doctor,AU,1,2036469,Vanessa Buckley,1,False,Kimberly,other,2016,9
31,Doctor Doctor,AU,1,1966493,Julia Savage,1,False,Schoolgirl,other,2016,9
32,Doctor Doctor,AU,1,2630235,Ron Carr,2,False,Old Man,other,2016,9
33,Doctor Doctor,AU,1,1478134,Rory Potter,2,False,Teenage Boy,other,2016,9
34,Doctor Doctor,AU,1,237172,Mike Duncan,2,False,Quad Bike Driver,doctor,2016,9
35,Doctor Doctor,AU,1,2478105,Lochie Nazer Hennings,0,False,Tanner Kid,other,2016,9
36,Doctor Doctor,AU,1,75720,Stephen Leeder,2,False,Mr. Tanner,other,2016,9
37,Doctor Doctor,AU,1,2630238,Janelle Packer,1,False,Mrs. Tanner,other,2016,9
38,Doctor Doctor,AU,1,2022182,Octavia Barron-Martin,1,False,Sally Peacock,other,2016,9
39,Doctor Doctor,AU,1,2630241,Amy Kersey,1,False,Jane,other,2016,9
40,Doctor Doctor,AU,1,1549688,Mark Simpson,2,False,Dale,other,2016,9
41,Doctor Doctor,AU,1,2436892,Timothy Parsons,2,False,Drunk Guy #1,doctor,2016,9
42,Doctor Doctor,AU,1,2630272,Kyran Lynch,2,False,Drunk Guy #2,doctor,2016,9
43,Doctor Doctor,AU,1,2630273,Daniel Lawrie,2,False,Injured Teenager,other,2016,9
44,Doctor Doctor,AU,1,2630274,Patrick Diggins,2,False,Storeroom Boy #1,other,2016,9
45,Doctor Doctor,AU,1,2630275,Joey Howe,2,False,Storeroom Boy #2,other,2016,9
46,Doctor Doctor,AU,1,2630278,Mia Bowd,1,False,Drunk Girl,doctor,2016,9
47,Doctor Doctor,AU,1,2630279,Ambrose McNamara,2,False,Teenage Girl,other,2016,9
48,Doctor Doctor,AU,1,2630280,Nikki Petkovic,1,False,Snake Bite Girl,other,2016,9
49,Doctor Doctor,AU,1,2023617,Jaxon Graham-Wilson,2,False,Wanabe Doctor,doctor,2016,9
50,Doctor Doctor,AU,1,12210,Jacek Koman,2,False,Trevor,other,2016,9
51,Doctor Doctor,AU,1,1190659,Lucy Durack,2,False,Tugger,other,2016,9
52,Doctor Doctor,AU,1,1237626,Patrick Wilson,2,False,Rod Eagle,other,2016,9
53,Doctor Doctor,AU,1,2630286,Cassie Osborne,1,False,Kacey,other,2016,10
54,Doctor Doctor,AU,1,78567,Peter Callan,2,False,Henry Goodearl,other,2016,10
55,Doctor Doctor,AU,1,1871363,Ainslie McGlynn,1,False,Henry's Lawyer,other,2016,10
56,Doctor Doctor,AU,1,2630295,Jennie Dibley,1,False,CWA Lady,other,2016,10
57,Doctor Doctor,AU,1,2414684,Laura Jane O'Reilly,1,False,Receptionist,other,2016,10
58,Doctor Doctor,AU,1,2630298,Emily Russell,1,False,Gia,other,2016,10
