,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,Doctor Stranger,KR,1,1095818,Lee Jong-suk,2,True,Park Hoon,doctor (probably),2014,5
1,Doctor Stranger,KR,1,1244834,Park Hae-jin,2,True,Han Jae Joon,doctor (probably),2014,5
2,Doctor Stranger,KR,1,227430,Jin Se-yeon,1,True,Song Jae Hee / Han Seung Hee,doctor (probably),2014,5
3,Doctor Stranger,KR,1,1295457,Kang So-ra,1,True,Oh Soo-Hyun,doctor (probably),2014,5
4,Doctor Stranger,KR,1,20264,Jeon Kuk-hwan,2,True,Oh Joon-gyu,doctor (probably),2014,5
5,Doctor Stranger,KR,1,1348579,Lee Il-hwa,1,True,Park Hoon's mother,doctor (probably),2014,5
6,Doctor Stranger,KR,1,572227,Choi Jung-woo,2,True,Moon Hyung-Wook,doctor (probably),2014,5
7,Doctor Stranger,KR,1,1520863,Kim Ji-young,1,True,Jeong-min,doctor (probably),2014,5
8,Doctor Stranger,KR,1,1292971,Park Hae-jun,2,True,Cha Jin-soo,doctor (probably),2014,5
9,Doctor Stranger,KR,1,240082,Jeong In-gi,2,True,Kim Tae-sool,doctor (probably),2014,5
10,Doctor Stranger,KR,1,1534624,Yoon Bo-ra,1,True,Lee Chang-yi,doctor (probably),2014,5
11,Doctor Stranger,KR,1,87090,Cheon Ho-jin,2,True,Jang Seok-joo,doctor (probably),2014,5
12,Doctor Stranger,KR,1,1556940,Goo Seung-hyun,3,True,Park Hoon (young),doctor (probably),2014,5
13,Doctor Stranger,KR,1,1295464,Kim Bo-mi,1,True,Kim Ah-young,doctor (probably),2014,5
