,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,Doctors,GB,1,47858,Diane Keen,1,True,,doctor (probably),2000,3
1,Doctors,GB,1,1096558,Eva Fontaine,1,True,,doctor (probably),2000,3
2,Doctors,GB,1,184990,Christopher Timothy,2,True,,doctor (probably),2000,3
3,Doctors,GB,1,1238451,Adrian Lewis Morgan,2,True,,doctor (probably),2000,3
4,Doctors,GB,1,1215190,Adam Booth,2,True,Will Coyle,doctor (probably),2000,3
5,Doctors,GB,1,1213387,Ellie Beaven,1,True,,doctor (probably),2000,3
6,Doctors,GB,1,1215192,Joseph Aston,2,True,Jamie Sefton,doctor (probably),2000,3
7,Doctors,GB,1,1220122,Jessica Turner,1,True,,doctor (probably),2000,3
8,Doctors,GB,1,1238452,Lu Corfield,1,True,Freya Wilson,doctor (probably),2000,3
9,Doctors,GB,1,84267,Dido Miles,1,True,,doctor (probably),2000,3
10,Doctors,GB,1,1220248,Ian Kelsey,2,True,,doctor (probably),2000,3
11,Doctors,GB,1,1238453,Ian Midlane,2,True,,doctor (probably),2000,3
12,Doctors,GB,1,1220090,Elisabeth Dermot Walsh,1,True,Zara Carmichael,doctor (probably),2000,3
13,Doctors,GB,1,62499,Matthew Chambers,2,True,Daniel Granger,doctor (probably),2000,3
14,Doctors,GB,1,1221968,Owen Brenman,2,True,Heston Carter,doctor (probably),2000,3
15,Doctors,GB,1,1238454,Charlie Kenyon,2,True,,doctor (probably),2000,3
16,Doctors,GB,1,49347,Jan Pearson,1,True,Karen Hollins,doctor (probably),2000,3
17,Doctors,GB,1,65889,Chris Walker,2,True,Rob Hollins,doctor (probably),2000,3
18,Doctors,GB,1,1238455,Sophie Abelson,1,True,Cherry Clay,doctor (probably),2000,3
19,Doctors,GB,1,1216368,Anita Carey,1,True,,doctor (probably),2000,3
20,Doctors,GB,1,1228957,Selina Chilton,1,True,Ruth Pearce,doctor (probably),2000,3
21,Doctors,GB,1,42662,Seán Gleeson,2,True,Ronnie Woodson,doctor (probably),2000,3
22,Doctors,GB,1,1238457,Martha Howe-Douglas,1,True,,doctor (probably),2000,3
23,Doctors,GB,1,20522,Robert Cavanah,2,True,Dr. Peter Kendrick,doctor,2000,3
24,Doctors,GB,1,1214515,Daniel Anthony,2,True,Lex Keavey,doctor (probably),2000,3
25,Doctors,GB,1,1238459,Andrea Green,1,True,,doctor (probably),2000,3
26,Doctors,GB,1,1238461,Ariyon Bakare,2,True,Dr. Ben Kwarme ,doctor,2000,3
27,Doctors,GB,1,138238,Tom Butcher,2,True,Dr. Marc Eliot,doctor,2000,3
28,Doctors,GB,1,1238462,Emma Fildes,1,True,Debbie McQueen,doctor (probably),2000,3
29,Doctors,GB,1,105489,Bill Rodgers,2,True,Eddie Slade,doctor (probably),2000,3
30,Doctors,GB,1,136040,Michael McKell,2,True,Dr. Nick West,doctor,2000,3
31,Doctors,GB,1,3210375,Yvonne Brewster,1,True,Ruth Harding,doctor (probably),2000,3
32,Doctors,GB,1,78110,Scott Adkins,2,False,Ross,other,2000,3
33,Doctors,GB,1,1221128,Brian Cant,2,False,Derek Richmond,other,2000,3
34,Doctors,GB,1,2023635,Patricia Greene,1,False,Margaret Richmond,other,2000,3
35,Doctors,GB,1,1586553,Frank Ellis,2,False,Jonathan Hyde,other,2000,4
36,Doctors,GB,1,68287,Callum Blue,2,False,Denny,other,2000,4
37,Doctors,GB,1,76916,Ryan Cartwright,2,False,Henry Lincoln,other,2000,4
38,Doctors,GB,1,1092559,Manjinder Virk,1,False,Karen Slater,other,2000,4
39,Doctors,GB,1,126534,Toyah Willcox,1,False,Marcy Preston,other,2000,4
40,Doctors,GB,1,110080,Sheridan Smith,1,False,Claire,other,2000,4
41,Doctors,GB,1,7063,Nina Sosanya,1,False,Jasmine,other,2000,4
42,Doctors,GB,1,9907,Honor Blackman,1,False,Rachel Knott,other,2000,5
43,Doctors,GB,1,11111,Lucy Davis,1,False,Nicky Andrews,doctor,2000,5
44,Doctors,GB,1,3112055,Waseem Mirza,2,False,Boyfriend,other,2000,5
45,Doctors,GB,1,1243389,Andrew Falvey,2,False,Billy Newley,other,2000,10
46,Doctors,GB,1,43626,Dora Bryan,1,False,Lily Anderson,other,2000,10
47,Doctors,GB,1,96408,Rosemary Leach,1,False,Meg Carpenter,other,2000,11
48,Doctors,GB,1,39658,Sally Hawkins,1,False,Sarah Carne,other,2000,11
49,Doctors,GB,1,202120,Les Dennis,2,False,Charles Lee,other,2000,11
50,Doctors,GB,1,148139,Vicky McClure,1,False,Kirsty Dunns,other,2000,11
51,Doctors,GB,1,1225426,Letitia Dean,1,False,,other,2000,12
52,Doctors,GB,2,47858,Diane Keen,1,True,,doctor (probably),2001,3
53,Doctors,GB,2,1096558,Eva Fontaine,1,True,,doctor (probably),2001,3
54,Doctors,GB,2,184990,Christopher Timothy,2,True,,doctor (probably),2001,3
55,Doctors,GB,2,1238451,Adrian Lewis Morgan,2,True,,doctor (probably),2001,3
56,Doctors,GB,2,1215190,Adam Booth,2,True,Will Coyle,doctor (probably),2001,3
57,Doctors,GB,2,1213387,Ellie Beaven,1,True,,doctor (probably),2001,3
58,Doctors,GB,2,1215192,Joseph Aston,2,True,Jamie Sefton,doctor (probably),2001,3
59,Doctors,GB,2,1220122,Jessica Turner,1,True,,doctor (probably),2001,3
60,Doctors,GB,2,1238452,Lu Corfield,1,True,Freya Wilson,doctor (probably),2001,3
61,Doctors,GB,2,84267,Dido Miles,1,True,,doctor (probably),2001,3
62,Doctors,GB,2,1220248,Ian Kelsey,2,True,,doctor (probably),2001,3
63,Doctors,GB,2,1238453,Ian Midlane,2,True,,doctor (probably),2001,3
64,Doctors,GB,2,1220090,Elisabeth Dermot Walsh,1,True,Zara Carmichael,doctor (probably),2001,3
65,Doctors,GB,2,62499,Matthew Chambers,2,True,Daniel Granger,doctor (probably),2001,3
66,Doctors,GB,2,1221968,Owen Brenman,2,True,Heston Carter,doctor (probably),2001,3
67,Doctors,GB,2,1238454,Charlie Kenyon,2,True,,doctor (probably),2001,3
68,Doctors,GB,2,49347,Jan Pearson,1,True,Karen Hollins,doctor (probably),2001,3
69,Doctors,GB,2,65889,Chris Walker,2,True,Rob Hollins,doctor (probably),2001,3
70,Doctors,GB,2,1238455,Sophie Abelson,1,True,Cherry Clay,doctor (probably),2001,3
71,Doctors,GB,2,1216368,Anita Carey,1,True,,doctor (probably),2001,3
72,Doctors,GB,2,1228957,Selina Chilton,1,True,Ruth Pearce,doctor (probably),2001,3
73,Doctors,GB,2,42662,Seán Gleeson,2,True,Ronnie Woodson,doctor (probably),2001,3
74,Doctors,GB,2,1238457,Martha Howe-Douglas,1,True,,doctor (probably),2001,3
75,Doctors,GB,2,20522,Robert Cavanah,2,True,Dr. Peter Kendrick,doctor,2001,3
76,Doctors,GB,2,1214515,Daniel Anthony,2,True,Lex Keavey,doctor (probably),2001,3
77,Doctors,GB,2,1238459,Andrea Green,1,True,,doctor (probably),2001,3
78,Doctors,GB,2,1238461,Ariyon Bakare,2,True,Dr. Ben Kwarme ,doctor,2001,3
79,Doctors,GB,2,138238,Tom Butcher,2,True,Dr. Marc Eliot,doctor,2001,3
80,Doctors,GB,2,1238462,Emma Fildes,1,True,Debbie McQueen,doctor (probably),2001,3
