,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,Doktor Martin,CZ,1,124141,Miroslav Donutil,2,True,Martin Elinger,doctor (probably),2015,8
1,Doktor Martin,CZ,1,932897,Jitka Čvančarová,1,True,,doctor (probably),2015,8
2,Doktor Martin,CZ,1,136814,Tomáš Měcháček,2,True,,doctor (probably),2015,8
3,Doktor Martin,CZ,1,592769,Norbert Lichý,2,True,,doctor (probably),2015,8
4,Doktor Martin,CZ,1,1107760,Milena Steinmasslová,1,True,,doctor (probably),2015,8
5,Doktor Martin,CZ,1,1349456,Jana Štěpánková,1,True,,doctor (probably),2015,8
6,Doktor Martin,CZ,1,1350059,Bohdana Pavlíková,1,True,,doctor (probably),2015,8
7,Doktor Martin,CZ,1,223740,Robert Mikluš,2,True,,doctor (probably),2015,8
8,Doktor Martin,CZ,1,138192,Lenka Vlasáková,1,True,,doctor (probably),2015,8
9,Doktor Martin,CZ,1,1078019,Otmar Brancuzský,2,True,,doctor (probably),2015,8
10,Doktor Martin,CZ,1,137332,Jan Filipenský,2,True,,doctor (probably),2015,8
11,Doktor Martin,CZ,1,1403993,Jiří Hána,2,True,,doctor (probably),2015,8
12,Doktor Martin,CZ,1,937219,Gabriela Marcinková,1,True,,doctor (probably),2015,8
13,Doktor Martin,CZ,1,1108526,Ady Hajdu,2,True,,doctor (probably),2015,8
14,Doktor Martin,CZ,1,222523,Martina Bezoušková,1,False,,other,2015,10
15,Doktor Martin,CZ,1,544480,Jan Skopeček,2,False,Kroupa,other,2015,11
16,Doktor Martin,CZ,2,124141,Miroslav Donutil,2,True,Martin Elinger,doctor (probably),2016,8
17,Doktor Martin,CZ,2,932897,Jitka Čvančarová,1,True,,doctor (probably),2016,8
18,Doktor Martin,CZ,2,136814,Tomáš Měcháček,2,True,,doctor (probably),2016,8
19,Doktor Martin,CZ,2,592769,Norbert Lichý,2,True,,doctor (probably),2016,8
20,Doktor Martin,CZ,2,1107760,Milena Steinmasslová,1,True,,doctor (probably),2016,8
21,Doktor Martin,CZ,2,1349456,Jana Štěpánková,1,True,,doctor (probably),2016,8
22,Doktor Martin,CZ,2,1350059,Bohdana Pavlíková,1,True,,doctor (probably),2016,8
23,Doktor Martin,CZ,2,223740,Robert Mikluš,2,True,,doctor (probably),2016,8
24,Doktor Martin,CZ,2,138192,Lenka Vlasáková,1,True,,doctor (probably),2016,8
25,Doktor Martin,CZ,2,1078019,Otmar Brancuzský,2,True,,doctor (probably),2016,8
26,Doktor Martin,CZ,2,137332,Jan Filipenský,2,True,,doctor (probably),2016,8
27,Doktor Martin,CZ,2,1403993,Jiří Hána,2,True,,doctor (probably),2016,8
28,Doktor Martin,CZ,2,937219,Gabriela Marcinková,1,True,,doctor (probably),2016,8
29,Doktor Martin,CZ,2,1108526,Ady Hajdu,2,True,,doctor (probably),2016,8
30,Doktor Martin,CZ,2,2136955,Barbora Chybová,1,False,,other,2016,10
