,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,"Doogie Howser, M.D.",US,1,41686,Neil Patrick Harris,2,True,Doogie Howser,doctor (probably),1989,9
1,"Doogie Howser, M.D.",US,1,7133,Max Casella,2,True,Vinnie Delpino,doctor (probably),1989,9
2,"Doogie Howser, M.D.",US,1,105296,Belinda Montgomery,1,True,Katherine Howser,doctor (probably),1989,9
3,"Doogie Howser, M.D.",US,1,6564,Lawrence Pressman,2,True,Benjamin Canfield,doctor (probably),1989,9
4,"Doogie Howser, M.D.",US,1,1226834,Kathryn Layng,1,True,,doctor (probably),1989,9
5,"Doogie Howser, M.D.",US,1,65568,James B. Sikking,2,True,David Howser,doctor (probably),1989,9
6,"Doogie Howser, M.D.",US,1,1226835,Markus Redmond,2,True,,doctor (probably),1989,9
7,"Doogie Howser, M.D.",US,1,16218,Mitchell Anderson,2,True,Jack McGuire,doctor (probably),1989,9
8,"Doogie Howser, M.D.",US,1,166951,Lisa Dean Ryan,1,True,Wanda Plenn,doctor (probably),1989,9
9,"Doogie Howser, M.D.",US,1,124131,Alan Fudge,2,False,,other,1989,9
10,"Doogie Howser, M.D.",US,1,43776,Neil Flynn,2,False,,other,1989,9
11,"Doogie Howser, M.D.",US,1,15372,Jeremy Roberts,2,False,,other,1989,9
12,"Doogie Howser, M.D.",US,1,71392,Elyssa Davalos,1,False,,other,1989,9
13,"Doogie Howser, M.D.",US,1,157048,Natsuko Ohama,1,False,,other,1989,10
14,"Doogie Howser, M.D.",US,1,74070,Nana Visitor,1,False,,other,1989,10
15,"Doogie Howser, M.D.",US,1,157447,Howard Honig,2,False,,other,1989,10
16,"Doogie Howser, M.D.",US,1,156869,Bob Minor,2,False,,other,1989,10
17,"Doogie Howser, M.D.",US,1,21154,Lee Wilkof,2,False,,other,1989,10
18,"Doogie Howser, M.D.",US,1,78003,Mark L. Taylor,2,False,,other,1989,10
19,"Doogie Howser, M.D.",US,1,10438,Jarrett Lennon,2,False,,other,1989,10
20,"Doogie Howser, M.D.",US,1,15373,Rif Hutton,2,False,,other,1989,10
21,"Doogie Howser, M.D.",US,1,2155,Thora Birch,1,False,,other,1989,10
