,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,Dr. Romantic,KR,1,80457,Han Suk-kyu,2,True,Teacher Kim,doctor (probably),2016,11
1,Dr. Romantic,KR,1,587675,Yoo Yeon-seok,2,True,Kang Dong-Joo,doctor (probably),2016,11
2,Dr. Romantic,KR,1,1333419,Seo Hyun-jin,1,True,Yoon Seo-Jung,doctor (probably),2016,11
3,Dr. Romantic,KR,1,1287909,Kim Hong-pa,2,True,Yeo Woon-Young,doctor (probably),2016,11
4,Dr. Romantic,KR,1,560070,Jin Kyung,1,True,Oh Myung-Sim,doctor (probably),2016,11
5,Dr. Romantic,KR,1,1493885,Kim Min-jae,2,True,Park Eun-Tak,doctor (probably),2016,11
6,Dr. Romantic,KR,1,1004565,Im Won-hee,2,True,Jang Gi-Tae,doctor (probably),2016,11
7,Dr. Romantic,KR,1,1809986,Yang Se-jong,2,True,Do In-Bum,doctor (probably),2016,11
8,Dr. Romantic,KR,1,1246953,Byun Woo-min,2,True,Nam Do Il,doctor (probably),2016,11
9,Dr. Romantic,KR,1,1882314,Seo Eun-soo,1,True,Woo Yeon-Hwa,doctor (probably),2016,11
10,Dr. Romantic,KR,1,1530559,Jang Hyuk-jin,2,True,Song Hyeon Cheol,doctor (probably),2016,11
11,Dr. Romantic,KR,1,227426,Seo Yeong,1,True,Manager Joo,doctor (probably),2016,11
12,Dr. Romantic,KR,1,1168323,Kim Joong-ki,2,False,Cardiothoracic Surgeon,doctor,2016,11
13,Dr. Romantic,KR,1,1914405,Moon Ji-In,1,False,Jo A-ra,other,2016,11
14,Dr. Romantic,KR,1,1494834,Tae In-ho,2,False,Moon Tae-ho,other,2016,11
15,Dr. Romantic,KR,1,2338440,Jung Kang-hee,2,False,Anal Patient,other,2016,11
16,Dr. Romantic,KR,1,4263,Kim Jung-young,1,False,Dongju's mother,other,2016,11
17,Dr. Romantic,KR,1,3216433,Lee Ji-yeon,1,False,Nurse Jin,nurse,2016,11
18,Dr. Romantic,KR,1,1493898,Yoon Chan-young,2,False,Kang Dong-joo (Young),other,2016,11
19,Dr. Romantic,KR,1,1883920,Park Sung-kwang,2,False,a bad customer,other,2016,11
20,Dr. Romantic,KR,1,2840016,Heo An-na,1,False,a bad customer,other,2016,11
21,Dr. Romantic,KR,1,2286176,Bae Myung-jin,2,False,Geosan University Hospital Emergency Room Nurse,nurse,2016,11
22,Dr. Romantic,KR,1,3218411,Gu Da-song,1,False,Female student,other,2016,11
23,Dr. Romantic,KR,1,1299283,Lee Cheol-min,2,False,Ham Seung-ho,other,2016,11
24,Dr. Romantic,KR,1,1257657,Hwang Chan-sung,2,False,Young Gyun,other,2016,11
25,Dr. Romantic,KR,1,1669141,Shin Seung-hwan,2,False,Webtoon writer,other,2016,12
26,Dr. Romantic,KR,1,566373,Lee Chae-eun,1,False,Ji Min-jung,other,2016,12
27,Dr. Romantic,KR,1,2754380,Kang Chan,3,False,Park Joo-hyuk,other,2016,12
28,Dr. Romantic,KR,1,1903881,Han Gab-soo,2,False,Park Joo-hyuk's father,other,2016,12
29,Dr. Romantic,KR,1,1414545,Park Doo-sik,2,False,Boyfriend of the appendicitis patient fertilizer,other,2016,12
30,Dr. Romantic,KR,2,80457,Han Suk-kyu,2,True,Teacher Kim,doctor (probably),2020,1
31,Dr. Romantic,KR,2,1482876,Lee Sung-kyung,1,True,Cha Eun-Jae,doctor (probably),2020,1
32,Dr. Romantic,KR,2,1571598,Ahn Hyo-seop,2,True,Seo Woo-Jin,doctor (probably),2020,1
33,Dr. Romantic,KR,2,560070,Jin Kyung,1,True,Oh Myung-Sim,doctor (probably),2020,1
34,Dr. Romantic,KR,2,1493885,Kim Min-jae,2,True,Park Eun-Tak,doctor (probably),2020,1
35,Dr. Romantic,KR,2,1004565,Im Won-hee,2,True,Jang Gi-Tae,doctor (probably),2020,1
36,Dr. Romantic,KR,2,1246953,Byun Woo-min,2,True,Nam Do Il,doctor (probably),2020,1
37,Dr. Romantic,KR,2,1534624,Yoon Bo-ra,1,True,Ju Young-mi,doctor (probably),2020,1
38,Dr. Romantic,KR,2,2082223,So Joo-yeon,1,True,Yoon Ah-reum,doctor (probably),2020,1
39,Dr. Romantic,KR,2,2736784,Kim Ju-hun,2,True,Park Min-guk,doctor (probably),2020,1
