,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,48271,Rainer Hunold,2,True,Dr. Peter Sommerfeld,doctor,1997,10
1,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,11952,Gudrun Okras,1,True,Hanna Schulze,doctor (probably),1997,10
2,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,50374,Daniela Hoffmann,1,True,Caroline Basten,doctor (probably),1997,10
3,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,234134,Marijam Agischewa,1,True,Katja Franke,doctor (probably),1997,10
4,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,1320430,Michèle Marian,1,True,Claudia Sommerfeld,doctor (probably),1997,10
5,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,1798768,Alina Merkau,1,True,Nina Sommerfeld,doctor (probably),1997,10
6,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,2045517,Sybille Heyen,1,True,Uschi Krause,doctor (probably),1997,10
7,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,57101,Andreas Elsholz,2,False,Torsten Klemke,other,1997,10
8,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,22930,Herbert Köfer,2,False,Pinnow,other,1997,10
9,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,1557544,Nana Spier,1,False,Elke,other,1997,10
10,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,235176,Stefanie Stappenbeck,1,False,Melanie Bruhns,other,1997,10
11,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,1286822,Imke Barnstedt,1,False,Christa Bruhns,other,1997,10
12,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,1828396,Dorothée Reinoss,1,False,Carmen Williams,other,1997,10
13,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,49200,Denise Zich,1,False,Katie Bruhns,other,1997,10
14,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,1460456,Inka Calvi,1,False,Lea Kant,other,1997,10
15,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,1054356,Waltraud Habicht,1,False,Frau Rust,other,1997,10
16,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,1831944,Tanja Geke,1,False,Sabine,other,1997,10
17,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,1522894,Sven Riemann,2,False,Atze Schneider,other,1997,10
18,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,1134350,Klaus-Jürgen Steinmann,2,False,Kurt Schröder,other,1997,10
19,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,1485958,Michael Zittel,2,False,Theo Lessen,other,1997,10
20,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,1148746,Gudrun Genest,1,False,Gudrun Schmidt,doctor,1997,10
21,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,22945,Carl Heinz Choynski,2,False,Jeschke,other,1997,10
22,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,44637,Anian Zollner,2,False,Thomas Bauer,other,1997,10
23,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,23006,Robert Glatzeder,2,False,Ralf Suhr,other,1997,10
24,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,1315210,Klaus Herm,2,False,Kurt Kowalsky,other,1997,10
25,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,2045521,Gabi Gottschalk,1,False,Susanne Krüger,other,1997,10
26,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,1533535,Adelheid Kleineidam,1,False,Heide Kowalsky,other,1997,10
27,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,1484331,Dietrich Lehmann,2,False,Günther Herrmann,other,1997,10
28,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,588317,Teresa Harder,1,False,Helma Wiesner,other,1997,11
29,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,26617,Manfred Lehmann,2,False,Jürgen Wiesner,other,1997,11
30,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,1733029,Achim Petry,2,False,Felix Spranger,other,1997,11
31,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,1506543,Kathleen Fiedler,1,False,Vivien Wiesner,other,1997,11
32,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,35668,Cordula Trantow,1,False,Regine Hofmeier,other,1997,11
33,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,39988,Paula Schramm,1,False,Jessica,other,1997,12
34,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,1863,Tobias Schenke,2,False,,other,1998,2
35,Dr. Sommerfeld - Neues vom Bülowbogen,DE,1,27370,Karin Ugowski,1,False,,other,1998,2
36,Dr. Sommerfeld - Neues vom Bülowbogen,DE,2,48271,Rainer Hunold,2,True,Dr. Peter Sommerfeld,doctor,1998,11
37,Dr. Sommerfeld - Neues vom Bülowbogen,DE,2,11952,Gudrun Okras,1,True,Hanna Schulze,doctor (probably),1998,11
38,Dr. Sommerfeld - Neues vom Bülowbogen,DE,2,50374,Daniela Hoffmann,1,True,Caroline Basten,doctor (probably),1998,11
39,Dr. Sommerfeld - Neues vom Bülowbogen,DE,2,234134,Marijam Agischewa,1,True,Katja Franke,doctor (probably),1998,11
40,Dr. Sommerfeld - Neues vom Bülowbogen,DE,2,1320430,Michèle Marian,1,True,Claudia Sommerfeld,doctor (probably),1998,11
41,Dr. Sommerfeld - Neues vom Bülowbogen,DE,2,1798768,Alina Merkau,1,True,Nina Sommerfeld,doctor (probably),1998,11
42,Dr. Sommerfeld - Neues vom Bülowbogen,DE,2,2045517,Sybille Heyen,1,True,Uschi Krause,doctor (probably),1998,11
43,Dr. Sommerfeld - Neues vom Bülowbogen,DE,2,100885,Alexander Wussow,2,False,Sascha Hahn,other,1998,11
44,Dr. Sommerfeld - Neues vom Bülowbogen,DE,2,37921,Constanze Engelbrecht,1,False,Susanne Möller,other,1998,12
45,Dr. Sommerfeld - Neues vom Bülowbogen,DE,2,1311056,Gisela Peltzer,1,False,Ilona Heimann,other,1998,12
46,Dr. Sommerfeld - Neues vom Bülowbogen,DE,2,22634,Horst Pinnow,2,False,Fritz Heimann,other,1998,12
47,Dr. Sommerfeld - Neues vom Bülowbogen,DE,2,59020,Sonja Kerskes,1,False,Maja,other,1998,12
48,Dr. Sommerfeld - Neues vom Bülowbogen,DE,2,2726,Brigitte Mira,1,False,Ria,other,1999,1
49,Dr. Sommerfeld - Neues vom Bülowbogen,DE,2,51886,Barbara Schöne,1,False,Carla Richter,other,1999,1
50,Dr. Sommerfeld - Neues vom Bülowbogen,DE,2,49174,Daniela Preuß,1,False,Maren Wilkens,other,1999,1
51,Dr. Sommerfeld - Neues vom Bülowbogen,DE,2,8801,Rolf Kanies,2,False,Zäsner,other,1999,3
52,Dr. Sommerfeld - Neues vom Bülowbogen,DE,2,13812,Tilo Prückner,2,False,Heinz Lepple,other,1999,3
53,Dr. Sommerfeld - Neues vom Bülowbogen,DE,2,1034302,Henriette Richter-Röhl,1,False,Sandra Lepple,doctor,1999,3
