,show_name,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,ER,1,33653,Sherry Stringfield,1,True,Susan Lewis,other,1994,9
1,ER,1,23628,Eriq La Salle,2,True,Peter Benton,other,1994,9
2,ER,1,25654,Julianna Margulies,1,True,Carol Hathaway,other,1994,9
3,ER,1,13526,Noah Wyle,2,True,John Carter,other,1994,9
4,ER,1,11085,Anthony Edwards,2,True,Mark Greene,other,1994,9
5,ER,1,1461,George Clooney,2,True,Doug Ross,other,1994,9
6,ER,1,58265,Herbert Jefferson Jr.,2,False,Trooper,other,1994,9
7,ER,1,3905,William H. Macy,2,False,David Morgenstern,other,1994,9
8,ER,1,124786,Holly Gagnier,1,False,Tracy Young,other,1994,9
9,ER,1,31006,Troy Evans,2,False,Frank Martin,other,1994,9
10,ER,1,15534,Paul Benjamin,2,False,Al Ervin,other,1994,9
11,ER,1,169707,Conni Marie Brazelton,1,False,Connie Oligario,other,1994,9
12,ER,1,76463,Ellen Crawford,1,False,Lydia Wright,other,1994,9
13,ER,1,2683,Glenn Plummer,2,False,Timmy Rawlins,other,1994,9
14,ER,1,1214190,Lawrence Mandley,2,False,Maintenance Man,other,1994,9
15,ER,1,84707,Michael Fairman,2,False,Mort Harris,other,1994,9
16,ER,1,15860,Miguel Ferrer,2,False,Mr. Parker,other,1994,9
17,ER,1,101777,Julianna McCarthy,1,False,Mrs. Raskin,other,1994,9
18,ER,1,1214364,Liz Vassey,1,False,Liz,other,1994,9
19,ER,1,66565,Jay Leggett,2,False,Mr. Canelli,other,1994,9
20,ER,1,35367,Jeff Doucette,2,False,Mr. Larkowski,other,1994,9
21,ER,1,95857,Elizabeth Ruscio,1,False,Sarah Logan,other,1994,9
22,ER,1,101172,Michael Cavanaugh,2,False,Suzanne's Dad,other,1994,9
23,ER,1,134061,Tracey Ellis,1,False,Annette,other,1994,9
24,ER,1,1224438,Gay Storm,0,False,Mrs. McCormick,other,1994,9
25,ER,1,120257,Joe D'Angerio,2,False,Rezek,other,1994,9
26,ER,1,104057,Christine Healy,1,False,Harriet Spooner,other,1994,9
27,ER,1,93345,Ryan Cutrona,2,False,Mr. Wilson,other,1994,9
28,ER,1,106974,Scott Lincoln,2,False,Fitzkee,other,1994,9
29,ER,1,141384,María Celedonio,1,False,Luisa,other,1994,9
30,ER,1,156395,Anne Gee Byrd,1,False,Harper,other,1994,9
