,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,Familie Dr. Kleist,DE,1,77881,Francis Fulton-Smith,2,True,Dr. Christian Kleist,doctor,2004,4
1,Familie Dr. Kleist,DE,1,1245164,Uta Schorn,1,True,Inge Kleist,doctor (probably),2004,4
2,Familie Dr. Kleist,DE,1,1460950,Marie Seiser,1,True,Lisa Kleist,doctor (probably),2004,4
3,Familie Dr. Kleist,DE,1,25432,Winnie Böwe,1,True,Nora Mann,doctor (probably),2004,4
4,Familie Dr. Kleist,DE,1,37105,Ulrich Pleitgen,2,True,Johannes Kleist,doctor (probably),2004,4
5,Familie Dr. Kleist,DE,1,48148,Christina Plate,1,True,Marlene Holstein,doctor (probably),2004,4
6,Familie Dr. Kleist,DE,1,1255214,Luca Zamperoni,2,True,Dr. Michael Sandmann,doctor,2004,4
7,Familie Dr. Kleist,DE,1,226669,David Bode,2,True,Peter Kleist,doctor (probably),2004,4
8,Familie Dr. Kleist,DE,1,1824167,Tom Radisch,2,True,Dr. Timotheus von Hatzfeld,doctor,2004,4
9,Familie Dr. Kleist,DE,1,2103585,Julian König,2,True,Paul Kleist,doctor (probably),2004,4
10,Familie Dr. Kleist,DE,1,1525297,Meo Wulf,2,True,Peter Kleist,doctor (probably),2004,4
11,Familie Dr. Kleist,DE,1,1283954,Lisa-Marie Koroll,1,True,Clara Kleist,doctor (probably),2004,4
12,Familie Dr. Kleist,DE,1,1307363,Walter Plathe,2,True,Bernd Spengler,doctor (probably),2004,4
13,Familie Dr. Kleist,DE,1,34298,Susanne Hoss,1,False,Susanne Kleist,other,2004,4
14,Familie Dr. Kleist,DE,1,70462,Johannes Gabriel,2,False,Uwe Karminski,other,2004,4
15,Familie Dr. Kleist,DE,1,64568,Martin Goeres,2,False,Gregor Holstein,other,2004,4
16,Familie Dr. Kleist,DE,1,23120,Teresa Weißbach,1,False,Nina Wertheimer,other,2004,4
17,Familie Dr. Kleist,DE,1,22953,Simone von Zglinicki,1,False,Dr. Verena Klein,doctor,2004,4
18,Familie Dr. Kleist,DE,1,1477298,Aline Hochscheid,1,False,Remanka Walter,other,2004,4
19,Familie Dr. Kleist,DE,1,43170,Thomas Huber,2,False,Helmut Langer,other,2004,4
20,Familie Dr. Kleist,DE,1,1307364,Angela Hobrig,1,False,Carola Baum,other,2004,4
21,Familie Dr. Kleist,DE,1,70116,Bernd Herzsprung,2,False,Erwin Baum,other,2004,4
22,Familie Dr. Kleist,DE,1,2946411,Alexandra Scheidt,1,False,Sara Baum,other,2004,4
23,Familie Dr. Kleist,DE,1,987550,Mathias Herrmann,2,False,Klaus Kleist,other,2004,4
24,Familie Dr. Kleist,DE,1,68478,Sebastian Ströbel,2,False,Michael Hertel,other,2004,4
25,Familie Dr. Kleist,DE,1,1800324,Wiebke Adam,1,False,Karin Meier,other,2004,4
26,Familie Dr. Kleist,DE,1,1800325,Peter Schulze-Sandow,2,False,Markus Landwehr,other,2004,4
27,Familie Dr. Kleist,DE,1,34300,Dieter Montag,2,False,Bernd Wertheimer,other,2004,4
28,Familie Dr. Kleist,DE,1,32444,Tamara Simunovic,1,False,Hannah Röder,other,2004,5
29,Familie Dr. Kleist,DE,1,928177,Hansjürgen Hürrig,2,False,,other,2004,5
30,Familie Dr. Kleist,DE,1,49200,Denise Zich,1,False,Tanja Eisler,other,2004,5
31,Familie Dr. Kleist,DE,1,233409,Klaus Mikoleit,2,False,Dr. Robert Schirrer,doctor,2004,5
32,Familie Dr. Kleist,DE,1,13817,Michael Gerber,2,False,Hartmut Eisler,other,2004,5
33,Familie Dr. Kleist,DE,1,1008395,Heike Hanold-Lynch,1,False,,other,2004,5
34,Familie Dr. Kleist,DE,1,49016,Guntbert Warns,2,False,Dr. Heiner Lister,doctor,2004,5
35,Familie Dr. Kleist,DE,1,48905,Silke Matthias,1,False,Sonja Baldauf,other,2004,5
36,Familie Dr. Kleist,DE,1,2948982,Friederike Nedelmann,1,False,Frau Gerber,other,2004,5
37,Familie Dr. Kleist,DE,1,1530895,Rahel Ohm,1,False,Bea Hauser,other,2004,5
38,Familie Dr. Kleist,DE,1,1861269,Ev-Katrin Weiß,1,False,Imke Jahreis,other,2004,5
39,Familie Dr. Kleist,DE,1,1420241,Peter Rauch,2,False,,other,2004,5
40,Familie Dr. Kleist,DE,1,2948983,Tina Hollitzer,1,False,,other,2004,5
41,Familie Dr. Kleist,DE,1,11609,Floriane Daniel,1,False,Carina Freund,other,2004,5
42,Familie Dr. Kleist,DE,1,38216,Kai Scheve,2,False,Matthias Freund,other,2004,5
43,Familie Dr. Kleist,DE,1,34301,Evelyn Meyka,1,False,Frau Schaller,other,2004,5
44,Familie Dr. Kleist,DE,1,48247,Antonio Di Mauro,2,False,Vittorio,other,2004,6
45,Familie Dr. Kleist,DE,1,1515679,Anka Baier,1,False,Petra Merkel,other,2004,6
46,Familie Dr. Kleist,DE,1,74186,Dieter Wien,2,False,Heribert Merkel,other,2004,6
47,Familie Dr. Kleist,DE,1,2949004,Caroline Schneider,1,False,Julia Kleist,other,2004,6
48,Familie Dr. Kleist,DE,1,588318,André Röhner,2,False,Konrad Tromberger,other,2004,6
49,Familie Dr. Kleist,DE,1,16720,Bernd Stegemann,2,False,Michael Beyer,other,2004,6
50,Familie Dr. Kleist,DE,1,572437,Lars Pape,2,False,Jan Schröder,other,2004,6
51,Familie Dr. Kleist,DE,1,1112947,Matthias Manz,2,False,Herbert,other,2004,6
52,Familie Dr. Kleist,DE,1,36749,Hans-Peter Korff,2,False,Herr Winscheid,other,2004,6
53,Familie Dr. Kleist,DE,1,26499,Gernot Endemann,2,False,,other,2004,6
54,Familie Dr. Kleist,DE,1,2949053,Katja Langnäse,1,False,,other,2004,6
55,Familie Dr. Kleist,DE,1,42879,Florentine Lahme,1,False,Sabine Gross,other,2004,6
56,Familie Dr. Kleist,DE,1,49766,Kirsten Block,1,False,Birte Hänning,other,2004,6
57,Familie Dr. Kleist,DE,1,445372,Frederic Welter,2,False,Florian Hänning,other,2004,6
58,Familie Dr. Kleist,DE,1,1253977,Bettina Lamprecht,1,False,Elisabeth Heimann,other,2004,6
59,Familie Dr. Kleist,DE,1,2949083,Katharine Sobko,1,False,Lilli Heimann,other,2004,6
60,Familie Dr. Kleist,DE,1,67423,Christoph Grunert,2,False,Hermann Gross,other,2004,6
61,Familie Dr. Kleist,DE,1,1460955,Maximilian Pfaff,2,False,Fred,other,2004,7
62,Familie Dr. Kleist,DE,1,2007099,Hamid Bundu,2,False,Henry Keeler,other,2004,7
63,Familie Dr. Kleist,DE,1,2949115,Alexander Eisenfeld,2,False,Steffen Wagner,other,2004,7
64,Familie Dr. Kleist,DE,1,1081441,Patrick Kalupa,2,False,Lutz,other,2004,7
65,Familie Dr. Kleist,DE,2,77881,Francis Fulton-Smith,2,True,Dr. Christian Kleist,doctor,2006,4
66,Familie Dr. Kleist,DE,2,1245164,Uta Schorn,1,True,Inge Kleist,doctor (probably),2006,4
67,Familie Dr. Kleist,DE,2,1460950,Marie Seiser,1,True,Lisa Kleist,doctor (probably),2006,4
68,Familie Dr. Kleist,DE,2,37105,Ulrich Pleitgen,2,True,Johannes Kleist,doctor (probably),2006,4
69,Familie Dr. Kleist,DE,2,48148,Christina Plate,1,True,Marlene Holstein,doctor (probably),2006,4
70,Familie Dr. Kleist,DE,2,1255214,Luca Zamperoni,2,True,Dr. Michael Sandmann,doctor,2006,4
71,Familie Dr. Kleist,DE,2,226669,David Bode,2,True,Peter Kleist,doctor (probably),2006,4
72,Familie Dr. Kleist,DE,2,1824167,Tom Radisch,2,True,Dr. Timotheus von Hatzfeld,doctor,2006,4
73,Familie Dr. Kleist,DE,2,2103585,Julian König,2,True,Paul Kleist,doctor (probably),2006,4
74,Familie Dr. Kleist,DE,2,1525297,Meo Wulf,2,True,Peter Kleist,doctor (probably),2006,4
75,Familie Dr. Kleist,DE,2,1283954,Lisa-Marie Koroll,1,True,Clara Kleist,doctor (probably),2006,4
76,Familie Dr. Kleist,DE,2,1307363,Walter Plathe,2,True,Bernd Spengler,doctor (probably),2006,4
77,Familie Dr. Kleist,DE,2,1307364,Angela Hobrig,1,False,Carola Baum,other,2006,4
78,Familie Dr. Kleist,DE,2,70116,Bernd Herzsprung,2,False,Erwin Baum,other,2006,4
79,Familie Dr. Kleist,DE,2,2946411,Alexandra Scheidt,1,False,Sara Baum,other,2006,4
80,Familie Dr. Kleist,DE,2,22953,Simone von Zglinicki,1,False,Dr. Verena Klein,doctor,2006,4
81,Familie Dr. Kleist,DE,2,1477298,Aline Hochscheid,1,False,Remanka Walter,other,2006,4
82,Familie Dr. Kleist,DE,2,1833155,Verena Klein,1,False,Ingrid Biber,other,2006,4
83,Familie Dr. Kleist,DE,2,22703,Diana Körner,1,False,Evelyn Dahlmann,other,2006,4
84,Familie Dr. Kleist,DE,2,43156,Deborah Kaufmann,1,False,Tatjana Dahlmann,other,2006,4
85,Familie Dr. Kleist,DE,2,25432,Winnie Böwe,1,False,Nora Mann,other,2006,4
86,Familie Dr. Kleist,DE,2,1284178,Jeannette Arndt,1,False,Monika Hofer,other,2006,4
87,Familie Dr. Kleist,DE,2,34300,Dieter Montag,2,False,Bernd Wertheimer,other,2006,5
88,Familie Dr. Kleist,DE,2,1127786,Swetlana Schönfeld,1,False,Milena Strunk,other,2006,5
89,Familie Dr. Kleist,DE,2,1825866,Georg Jungermann,2,False,Florian Siewert,other,2006,5
90,Familie Dr. Kleist,DE,2,3936,Petra Zieser,1,False,Sybille Körner,other,2006,5
91,Familie Dr. Kleist,DE,2,576093,Bert Tischendorf,2,False,Jens Körner,other,2006,5
92,Familie Dr. Kleist,DE,2,38442,Thure Riefenstein,2,False,Dr. Hubertus Winkler,doctor,2006,5
93,Familie Dr. Kleist,DE,2,2952088,Sylvia Arndt,1,False,,other,2006,5
94,Familie Dr. Kleist,DE,2,1684497,Anette Hellwig,1,False,,other,2006,5
95,Familie Dr. Kleist,DE,2,2330389,Bernd Hengst,2,False,,other,2006,5
96,Familie Dr. Kleist,DE,2,1861,Markus Knüfken,2,False,Horst Brinkmann,other,2006,3
