,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,Grey's Anatomy,US,1,9280,Ellen Pompeo,1,True,Meredith Grey,doctor,2005,3
1,Grey's Anatomy,US,1,25544,James Pickens Jr.,2,True,Richard Webber,doctor,2005,3
2,Grey's Anatomy,US,1,171075,Chandra Wilson,1,True,Miranda Bailey,doctor,2005,3
3,Grey's Anatomy,US,1,20746,Justin Chambers,2,True,Alex Karev,doctor,2005,3
4,Grey's Anatomy,US,1,18352,Patrick Dempsey,2,True,Derek Shepherd,doctor,2005,3
5,Grey's Anatomy,US,1,25540,Sandra Oh,1,True,Cristina Yang,doctor,2005,3
6,Grey's Anatomy,US,1,25541,Katherine Heigl,1,True,Izzie Stevens,doctor (probably),2005,3
7,Grey's Anatomy,US,1,164205,T.R. Knight,2,True,George O'Malley,doctor,2005,3
8,Grey's Anatomy,US,1,21353,Isaiah Washington,2,True,Preston Burke,doctor (probably),2005,3
9,Grey's Anatomy,US,1,165425,Sendhil Ramamurthy,2,False,Intern #2,intern,2005,3
10,Grey's Anatomy,US,1,93379,Skyler Shaye,1,False,Katie Bryce,other,2005,3
11,Grey's Anatomy,US,1,180602,Laura Carson,1,False,Gloria Savitch,other,2005,3
12,Grey's Anatomy,US,1,1520614,David Vegh,2,False,Tony Savitch,other,2005,3
13,Grey's Anatomy,US,1,1178314,Randall Arney,2,False,Mr. Bryce,other,2005,3
14,Grey's Anatomy,US,1,2558596,Robbie Troy,2,False,Mrs. Bryce,other,2005,3
15,Grey's Anatomy,US,1,1232417,Lynne Marie Stewart,1,False,Nurse,nurse,2005,3
16,Grey's Anatomy,US,1,1213166,Sean Palmer,2,False,Intern #3,intern,2005,3
17,Grey's Anatomy,US,1,1785726,Richard Gilbert-Hill,2,False,Small Town Doc,doctor,2005,3
18,Grey's Anatomy,US,1,113976,Grinnell Morris,2,False,Intern #4,intern,2005,3
19,Grey's Anatomy,US,1,3036242,Noelle McCutchen,1,False,Nurse #2,nurse,2005,3
20,Grey's Anatomy,US,1,1133449,Josh Bywater,2,False,Intern #1,intern,2005,3
