,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,Hard Rock Medical,CA,1,44172,Patrick McKenna,2,True,Dr. Fraser Healy,doctor,2013,6
1,Hard Rock Medical,CA,1,1323876,Danielle Bourgon,1,True,Dr. Louise Helvi,doctor,2013,6
2,Hard Rock Medical,CA,1,1323877,Rachelle Casseus,1,True,Farida Farhisal,doctor (probably),2013,6
3,Hard Rock Medical,CA,1,1323878,Tamara Duarte,1,True,Gina Russo,doctor (probably),2013,6
4,Hard Rock Medical,CA,1,292664,Andrea Menard,1,True,Eva Malone,doctor (probably),2013,6
5,Hard Rock Medical,CA,1,1245843,Stef Paquette,2,True,Charlie Rivière,doctor (probably),2013,6
6,Hard Rock Medical,CA,1,1323880,Melissa Jane Shaw,1,True,Melanie Truscott,doctor (probably),2013,6
7,Hard Rock Medical,CA,1,1323881,Mark Coles Smith,2,True,Gary Frazier,doctor (probably),2013,6
8,Hard Rock Medical,CA,1,1323882,Jamie Spilchuk,1,True,Cameron Cahill,doctor (probably),2013,6
9,Hard Rock Medical,CA,1,43259,Kyra Harper,1,True,Dr. Julie Cardinal,doctor,2013,6
10,Hard Rock Medical,CA,1,1239480,Christian Laurin,2,True,Dr. Raymond Dallaire,doctor,2013,6
