,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,Holby City,GB,1,300596,Nicola Stephenson,1,True,Julie Fitzjohn,doctor (probably),1999,1
1,Holby City,GB,1,178637,Dawn McDaniel,1,True,Kirstie Collins,doctor (probably),1999,1
2,Holby City,GB,1,68307,Luke Mably,2,True,Paul Ripley,doctor (probably),1999,1
3,Holby City,GB,1,1220007,George Irving,2,True,Anton Meyer,doctor (probably),1999,1
4,Holby City,GB,1,1220166,Angela Griffin,1,True,Jasmine Hopkins,doctor (probably),1999,1
5,Holby City,GB,1,1221811,Michael French,2,True,Nick Jordan,doctor (probably),1999,1
6,Holby City,GB,1,3426,Derek Thompson,2,False,Charlie Fairhead,other,1999,1
7,Holby City,GB,1,1049895,Bryan Murray,2,False,James Roberts,other,1999,1
8,Holby City,GB,1,1216101,Kevin Doyle,2,False,Simon Harwood,other,1999,1
9,Holby City,GB,1,1221760,Jonathan Kerrigan,2,False,Sam Colloby,other,1999,1
10,Holby City,GB,1,139535,Claire Goose,1,False,Tina Seabrook,other,1999,1
11,Holby City,GB,1,1234991,Keeley Forsyth,1,False,Rachel Livingstone,other,1999,1
12,Holby City,GB,1,1667,Danny Cunningham,2,False,Tom Woodley,other,1999,2
13,Holby City,GB,1,30706,Lionel Jeffries,2,False,Harry,other,1999,2
14,Holby City,GB,1,52262,Sean Maguire,2,False,Darren Ingram,other,1999,3
15,Holby City,GB,1,10735,Gwen Taylor,1,False,Geraldine,other,1999,3
16,Holby City,GB,1,1092559,Manjinder Virk,1,False,Junior Nurse,nurse,1999,3
17,Holby City,GB,2,1220007,George Irving,2,True,Anton Meyer,doctor (probably),1999,11
18,Holby City,GB,2,1221811,Michael French,2,True,Nick Jordan,doctor (probably),1999,11
19,Holby City,GB,2,1220166,Angela Griffin,1,True,Jasmine Hopkins,doctor (probably),1999,11
20,Holby City,GB,2,145533,Clive Mantle,2,True,Mike Barratt,doctor (probably),1999,11
21,Holby City,GB,2,182054,Lisa Faulkner,1,True,Victoria Merrick,doctor (probably),1999,11
22,Holby City,GB,2,115556,Jeremy Edwards,2,True,Danny Shaughnessy,doctor (probably),1999,11
23,Holby City,GB,2,1214973,Paul Chequer,2,False,Neil Longford,other,1999,12
24,Holby City,GB,2,3210375,Yvonne Brewster,1,False,Linda,other,1999,12
25,Holby City,GB,2,1240551,Carl Rice,2,False,Tommy,other,1999,12
26,Holby City,GB,3,1582887,Lee Ryan,2,False,Adrian Kirkwall,doctor,2000,10
27,Holby City,GB,3,18020,Lewis McKenzie,2,False,Mark Wheatley,other,2000,11
28,Holby City,GB,3,29069,Michael Jayston,2,False,Judge,other,2001,1
29,Holby City,GB,3,992504,Siobhan Redmond,1,False,Janice Taylor,other,2001,1
30,Holby City,GB,3,189689,Ryan Nelson,2,False,Jason Beatty,other,2001,1
31,Holby City,GB,3,3292,Nicholas Hoult,2,False,Oscar Banks,other,2001,3
32,Holby City,GB,3,1776822,T.J. Sorrell,2,False,Lewis,other,2001,3
33,Holby City,GB,3,575814,Roland Curram,2,False,Ted Carver,other,2001,3
34,Holby City,GB,3,55469,Russell Tovey,2,False,Jerome Hibbert,other,2001,3
35,Holby City,GB,3,3199215,Tom Magditch,2,False,Marco Cocozza,other,2001,5
36,Holby City,GB,4,115556,Jeremy Edwards,2,True,Danny Shaughnessy,doctor (probably),2001,10
37,Holby City,GB,4,195414,David Paisley,2,True,Ben Saunders,doctor (probably),2001,10
38,Holby City,GB,4,12657,Jean Marsh,1,False,Vera Engells,other,2002,9
39,Holby City,GB,4,85182,Jody Latham,2,False,Alan Bridger,other,2002,9
40,Holby City,GB,4,15736,Sylvia Syms,1,False,Margaret Larkin,other,2002,9
41,Holby City,GB,5,195414,David Paisley,2,True,Ben Saunders,doctor (probably),2002,10
42,Holby City,GB,5,2337640,Francesca Martinez,1,False,Molly Jarratt,other,2003,4
43,Holby City,GB,5,166014,Sian Reeves,1,False,Rachel Harvey,other,2003,9
44,Holby City,GB,6,164602,Adam Paul Harvey,2,False,Scott Johnston,other,2003,12
45,Holby City,GB,6,3335455,Richard Burke,2,False,David Knowles,other,2004,4
46,Holby City,GB,7,97432,James Hillier,2,False,Derek Humphries,other,2005,4
47,Holby City,GB,7,55469,Russell Tovey,2,False,Adam Spengler,other,2005,8
48,Holby City,GB,7,1170517,Seb Castang,2,False,Tim Wellmann,other,2005,8
49,Holby City,GB,8,83734,Jonathan Readwin,2,False,Rory Loader,other,2005,11
50,Holby City,GB,9,1231101,Kip Gamblin,2,False,Greg Fallon,other,2006,11
51,Holby City,GB,9,57628,Wim Snape,2,False,Tony Dunmore,other,2007,4
52,Holby City,GB,9,1214778,Judy Flynn,1,False,Meg West,other,2007,4
53,Holby City,GB,9,85065,Jack O'Connell,2,False,Davey Hunt,other,2007,5
54,Holby City,GB,9,26702,Philip Anthony,2,False,Bill Haines,other,2007,6
55,Holby City,GB,9,235538,Robert Timmins,2,False,Toby Merrick,other,2007,8
56,Holby City,GB,10,206177,Abhin Galeya,2,False,Vikram Popat,other,2007,10
57,Holby City,GB,10,2524243,Senia Devine,1,False,Magda Kovalenko,other,2008,8
58,Holby City,GB,11,976408,Jana Carpenter,1,False,Vicky Slogan,other,2008,11
59,Holby City,GB,11,1795217,Josh Brown,2,False,Frankie Moore,other,2009,2
60,Holby City,GB,11,224283,Orlando Wells,2,False,Guy Kilminster,other,2009,6
61,Holby City,GB,11,24682,Robert Powell,2,False,Mark Williams,other,2009,9
62,Holby City,GB,11,14326,Patsy Kensit,1,False,Faye Byrne,other,2009,9
