,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,Hospital Central,ES,1,140089,María Casal,1,True,Elisa Sánchez,doctor (probably),2000,4
1,Hospital Central,ES,1,1207948,Jordi Rebellón,2,True,Rodolfo Vilches,doctor (probably),2000,4
2,Hospital Central,ES,1,1080942,Antonio Zabálburu,2,True,Javier Sotomayor,doctor (probably),2000,4
3,Hospital Central,ES,1,1124384,Chusa Barbero,1,True,Susana Cortés,doctor (probably),2000,4
4,Hospital Central,ES,1,967160,Lola Casamayor,1,True,Cecilia Shuman,doctor (probably),2000,4
5,Hospital Central,ES,1,1031567,Diana Lázaro,1,True,Leonor Vázquez,doctor (probably),2000,4
6,Hospital Central,ES,1,1012192,Rosa Mariscal,1,True,Andrea Valverde,doctor,2000,4
7,Hospital Central,ES,1,1198226,Jesús Cabrero,2,True,Mario Quiroga,doctor (probably),2000,4
8,Hospital Central,ES,1,549833,Sergi Mateu,2,True,Santiago Bernal,doctor (probably),2000,4
9,Hospital Central,ES,1,1061915,Ángel Pardo,2,True,"Isidro ""Rusti"" Gálvez",doctor,2000,4
10,Hospital Central,ES,1,1446732,Marisol Rolandi,1,True,Teresa Montoro,doctor (probably),2000,4
11,Hospital Central,ES,1,1446725,Fátima Baeza,1,True,Esther García,doctor (probably),2000,4
12,Hospital Central,ES,1,472547,Antonio Barroso,2,False,Repartidor,other,2000,5
13,Hospital Central,ES,2,140089,María Casal,1,True,Elisa Sánchez,doctor (probably),2001,1
14,Hospital Central,ES,2,1207948,Jordi Rebellón,2,True,Rodolfo Vilches,doctor (probably),2001,1
15,Hospital Central,ES,2,1080942,Antonio Zabálburu,2,True,Javier Sotomayor,doctor (probably),2001,1
16,Hospital Central,ES,2,967160,Lola Casamayor,1,True,Cecilia Shuman,doctor (probably),2001,1
17,Hospital Central,ES,2,1044336,Lola Marceli,1,True,Paula Herrero,doctor (probably),2001,1
18,Hospital Central,ES,2,1031567,Diana Lázaro,1,True,Leonor Vázquez,doctor (probably),2001,1
19,Hospital Central,ES,2,1012192,Rosa Mariscal,1,True,Andrea Valverde,doctor,2001,1
20,Hospital Central,ES,2,1198226,Jesús Cabrero,2,True,Mario Quiroga,doctor (probably),2001,1
21,Hospital Central,ES,2,549833,Sergi Mateu,2,True,Santiago Bernal,doctor (probably),2001,1
22,Hospital Central,ES,2,1061915,Ángel Pardo,2,True,"Isidro ""Rusti"" Gálvez",doctor,2001,1
23,Hospital Central,ES,2,1446732,Marisol Rolandi,1,True,Teresa Montoro,doctor (probably),2001,1
24,Hospital Central,ES,2,1446725,Fátima Baeza,1,True,Esther García,doctor (probably),2001,1
25,Hospital Central,ES,3,72674,Paulina Gálvez,1,True,Ana Ortiz,doctor (probably),2002,1
26,Hospital Central,ES,3,140089,María Casal,1,True,Elisa Sánchez,doctor (probably),2002,1
27,Hospital Central,ES,3,1207948,Jordi Rebellón,2,True,Rodolfo Vilches,doctor (probably),2002,1
28,Hospital Central,ES,3,1080942,Antonio Zabálburu,2,True,Javier Sotomayor,doctor (probably),2002,1
29,Hospital Central,ES,3,1012192,Rosa Mariscal,1,True,Andrea Valverde,doctor,2002,1
30,Hospital Central,ES,3,1198226,Jesús Cabrero,2,True,Mario Quiroga,doctor (probably),2002,1
31,Hospital Central,ES,3,549833,Sergi Mateu,2,True,Santiago Bernal,doctor (probably),2002,1
32,Hospital Central,ES,3,1446716,Amaia Lizarralde,1,True,Cristina Laguna,doctor (probably),2002,1
33,Hospital Central,ES,3,1061915,Ángel Pardo,2,True,"Isidro ""Rusti"" Gálvez",doctor,2002,1
34,Hospital Central,ES,3,1030528,Diana Palazón,1,True,Laura Llano,doctor (probably),2002,1
35,Hospital Central,ES,3,1446732,Marisol Rolandi,1,True,Teresa Montoro,doctor (probably),2002,1
36,Hospital Central,ES,3,1446725,Fátima Baeza,1,True,Esther García,doctor (probably),2002,1
37,Hospital Central,ES,3,3188333,Kevin Estiz,2,False,Quique,other,2002,1
38,Hospital Central,ES,3,1340020,Álvaro Morte,2,False,Buzo,other,2002,1
39,Hospital Central,ES,3,130259,Biel Duran,2,False,Ángel,other,2002,2
40,Hospital Central,ES,3,1240547,Jorge Jurado,2,False,Niño,other,2002,4
41,Hospital Central,ES,4,140089,María Casal,1,True,Elisa Sánchez,doctor (probably),2002,9
42,Hospital Central,ES,4,1207948,Jordi Rebellón,2,True,Rodolfo Vilches,doctor (probably),2002,9
43,Hospital Central,ES,4,3651,Fernando Guillén,2,True,Germán Prada,doctor (probably),2002,9
44,Hospital Central,ES,4,1080942,Antonio Zabálburu,2,True,Javier Sotomayor,doctor (probably),2002,9
45,Hospital Central,ES,4,1012192,Rosa Mariscal,1,True,Andrea Valverde,doctor,2002,9
46,Hospital Central,ES,4,549833,Sergi Mateu,2,True,Santiago Bernal,doctor (probably),2002,9
47,Hospital Central,ES,4,1446716,Amaia Lizarralde,1,True,Cristina Laguna,doctor (probably),2002,9
48,Hospital Central,ES,4,587099,Armando del Río,2,True,Fran Crespo,doctor (probably),2002,9
49,Hospital Central,ES,4,1061915,Ángel Pardo,2,True,"Isidro ""Rusti"" Gálvez",doctor,2002,9
50,Hospital Central,ES,4,1396657,Alicia Bogo,1,True,Eva Méndez,doctor (probably),2002,9
51,Hospital Central,ES,4,1149059,Lluís Marco,2,True,Antonio Dávila,doctor (probably),2002,9
52,Hospital Central,ES,4,1030528,Diana Palazón,1,True,Laura Llano,doctor (probably),2002,9
53,Hospital Central,ES,4,961990,Nacho Fresneda,2,True,Manuel Aimé,doctor (probably),2002,9
54,Hospital Central,ES,4,1446732,Marisol Rolandi,1,True,Teresa Montoro,doctor (probably),2002,9
55,Hospital Central,ES,4,1446725,Fátima Baeza,1,True,Esther García,doctor (probably),2002,9
56,Hospital Central,ES,4,1340020,Álvaro Morte,2,False,Bombero,other,2002,10
57,Hospital Central,ES,4,1206196,Jaime Ordóñez,2,False,,other,2002,11
58,Hospital Central,ES,5,140089,María Casal,1,True,Elisa Sánchez,doctor (probably),2003,1
