,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,House,US,1,41419,Hugh Laurie,2,True,Gregory House,doctor,2004,11
1,House,US,1,4987,Omar Epps,2,True,Eric Foreman,doctor (probably),2004,11
2,House,US,1,41420,Lisa Edelstein,1,True,Lisa Cuddy,doctor (probably),2004,11
3,House,US,1,2692,Robert Sean Leonard,2,True,James Wilson,doctor (probably),2004,11
4,House,US,1,41422,Jesse Spencer,2,True,Robert Chase,doctor (probably),2004,11
5,House,US,1,41421,Jennifer Morrison,1,True,Allison Cameron,doctor (probably),2004,11
6,House,US,1,17346,Robin Tunney,1,False,Rebecca Adler,other,2004,11
7,House,US,1,41436,Andrew Airlie,2,False,Orange Colored Patient,other,2004,11
8,House,US,1,62717,Rekha Sharma,1,False,Melanie Landon,other,2004,11
9,House,US,1,41429,Ava Hughes,1,False,Sydney,other,2004,11
10,House,US,1,2345522,Ethan Kyle Gross,2,False,Molnar,other,2004,11
11,House,US,1,1825645,Janet Glassford,1,False,Reception Nurse,nurse,2004,11
12,House,US,1,41432,Candus Churchill,1,False,Substitute Teacher,other,2004,11
13,House,US,1,172997,Maya Massar,1,False,Asthma Mom,other,2004,11
14,House,US,1,2237846,Dylan Basu,2,False,Asthma Boy,other,2004,11
15,House,US,1,1661015,Michale Ascher,1,False,Egg Salad Lady,other,2004,11
16,House,US,1,41434,Alana Husband,1,False,Tech,other,2004,11
17,House,US,1,41464,Scott Mechlowicz,2,False,Dan,other,2004,11
18,House,US,1,41465,Robin Thomas,2,False,Dan's Father,other,2004,11
19,House,US,1,18327,Wendy Gazelle,1,False,Dan's Mother,other,2004,11
20,House,US,1,149555,Alex Skuby,2,False,John Funsten,other,2004,11
21,House,US,1,2345541,Scott Hochstadt,2,False,Jake,other,2004,11
22,House,US,1,168140,Paul Ganus,2,False,Trainer,other,2004,11
23,House,US,1,181590,Kylee Cochran,1,False,Young Woman,other,2004,11
24,House,US,1,7431,Kevin Zegers,2,False,Brandon Merrell,other,2004,11
25,House,US,1,41504,Alexis Thorpe,1,False,Mindy,other,2004,11
26,House,US,1,41505,Faith Prince,1,False,Becky Merrell,other,2004,11
27,House,US,1,41506,Lauren Cohn,1,False,Jodi Matthews,other,2004,11
28,House,US,1,41508,Jason Stuart,2,False,Adam Brown,other,2004,11
29,House,US,1,1772550,John Kelly,2,False,Robert Merrell,other,2004,11
30,House,US,1,199704,Beth Hall,1,False,Shelly Lever,other,2004,11
31,House,US,1,2348240,Ben Campbell,2,False,Jerry Morris,other,2004,11
32,House,US,1,20809,Joshua Wolf Coleman,2,False,Pharmacist,other,2004,11
33,House,US,1,2348241,Marco Pelaez,2,False,Hospital Pharmacist,other,2004,11
