,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,In aller Freundschaft,DE,1,1245159,Thomas Rühmann,2,True,Dr. Roland Heilmann,doctor,1998,10
1,In aller Freundschaft,DE,1,1245160,Hendrikje Fitz,1,True,Pia Heilmann,doctor (probably),1998,10
2,In aller Freundschaft,DE,1,43163,Ursula Karusseit,1,True,Charlotte Gauss,doctor (probably),1998,10
3,In aller Freundschaft,DE,1,1245163,Andrea-Kathrin Loewig,1,True,Dr. Kathrin Globisch,doctor,1998,10
4,In aller Freundschaft,DE,1,5210,Alexa Maria Surholt,1,True,Sarah Marquardt,doctor (probably),1998,10
5,In aller Freundschaft,DE,1,1245164,Uta Schorn,1,True,Barbara Grigoleit,doctor (probably),1998,10
6,In aller Freundschaft,DE,1,1245165,Thomas Koch,2,True,Dr. Philipp Brentano,doctor,1998,10
7,In aller Freundschaft,DE,1,1245167,Cheryl Shepard,1,True,Dr. Elena Eichhorn,doctor,1998,10
8,In aller Freundschaft,DE,1,16243,Rolf Becker,2,True,Otto Stein,doctor (probably),1998,10
9,In aller Freundschaft,DE,1,36468,Bernhard Bettermann,2,True,Dr. Martin Stein,doctor,1998,10
10,In aller Freundschaft,DE,1,31643,Udo Schenk,2,True,Dr. Rolf Kaminski,doctor,1998,10
11,In aller Freundschaft,DE,1,1245170,Stephen Dürr,2,True,Vladi Nemetz,doctor (probably),1998,10
12,In aller Freundschaft,DE,1,1245171,Steve Windolf,2,True,Sebastian Maier,doctor (probably),1998,10
13,In aller Freundschaft,DE,1,1245174,Alissa Jung,1,True,Alina Heilmann,doctor (probably),1998,10
14,In aller Freundschaft,DE,1,1245162,Dieter Bellmann,2,True,Prof. Gernot Simoni,doctor (probably),1998,10
15,In aller Freundschaft,DE,1,1245158,Maren Gilzer,1,True,Yvonne Habermann,doctor (probably),1998,10
16,In aller Freundschaft,DE,1,22594,Fred Delmare,2,True,Opa Friedrich,doctor,1998,10
17,In aller Freundschaft,DE,1,1245161,Jutta Kammann,1,True,Ingrid Rischke,doctor (probably),1998,10
18,In aller Freundschaft,DE,1,1210878,Martin Halm,2,False,Nicolas Claasen,other,1998,10
19,In aller Freundschaft,DE,1,1510119,Ina Rudolph,1,False,Maia Dietz,other,1998,10
20,In aller Freundschaft,DE,1,39863,Joachim Kretzer,2,False,Dr. Achim Kreutzer,doctor,1998,10
21,In aller Freundschaft,DE,1,1327321,Igor Jeftic,2,False,Christoph Stark,other,1998,10
22,In aller Freundschaft,DE,1,36730,Matthias Koeberlin,2,False,,other,1998,10
23,In aller Freundschaft,DE,1,1568525,Tao Li Ma,1,False,Tina Wallbert,other,1998,10
24,In aller Freundschaft,DE,1,115884,Axel Wandtke,2,False,Dr. Emanuel Barrach,doctor,1998,10
25,In aller Freundschaft,DE,1,1180685,Cornelia Gröschel,1,False,Franzi Moers,other,1998,11
26,In aller Freundschaft,DE,1,1245169,Karsten Kühn,2,False,Jakob Heilmann,other,1998,11
27,In aller Freundschaft,DE,1,1806439,Barbara Geiger,1,False,Elke Lohnhardt,other,1998,11
28,In aller Freundschaft,DE,1,50180,Hendrik Duryn,2,False,Bernhard Frisch,other,1998,11
29,In aller Freundschaft,DE,1,38745,Kaspar Eichel,2,False,Kollege,other,1998,11
30,In aller Freundschaft,DE,1,50373,Detlef Heintze,2,False,VfB Leipzig Manager,other,1998,11
31,In aller Freundschaft,DE,1,1860727,Andreas Rehschuh,2,False,Konzertveranstalter,other,1998,11
32,In aller Freundschaft,DE,1,233747,Theresa Scholze,1,False,Petra,other,1998,11
33,In aller Freundschaft,DE,1,70462,Johannes Gabriel,2,False,Immobilienmakler,other,1998,11
34,In aller Freundschaft,DE,1,23011,Frank-Otto Schenk,2,False,Starks Vater,other,1998,11
35,In aller Freundschaft,DE,1,36712,Werner Dissel,2,False,Herr Kagel,other,1998,11
36,In aller Freundschaft,DE,1,1397931,Barbara Frey,1,False,Bordellchefin,other,1998,11
37,In aller Freundschaft,DE,1,2232300,Aimée Gneist,1,False,Prostituierte,other,1998,11
38,In aller Freundschaft,DE,1,1821385,Jana Kozewa,1,False,Pamela Lutz,other,1998,11
39,In aller Freundschaft,DE,1,36755,Peter Prager,2,False,Wirt,other,1998,11
40,In aller Freundschaft,DE,1,1081094,Irma Münch,1,False,Mutter Lomatzsch,other,1998,11
41,In aller Freundschaft,DE,1,39296,Simon Licht,2,False,Daniel Wander,other,1998,12
42,In aller Freundschaft,DE,1,1307364,Angela Hobrig,1,False,Susanne Wander,other,1998,12
43,In aller Freundschaft,DE,1,1359535,Joachim Kaps,2,False,Wirt,other,1998,12
44,In aller Freundschaft,DE,1,1859544,Dorothea Garlin,1,False,Jugendamtsmitarbeiterin,other,1998,12
45,In aller Freundschaft,DE,1,67493,Janette Rauch,1,False,Alexandra Maier,doctor,1998,12
46,In aller Freundschaft,DE,1,36442,Ingeborg Westphal,1,False,Gynäkologin,other,1998,12
47,In aller Freundschaft,DE,1,118433,Karin Düwel,1,False,Hannah Wöllner,other,1998,12
48,In aller Freundschaft,DE,1,1791517,Bärbel Strecker,1,False,Marita Kremer,other,1999,1
49,In aller Freundschaft,DE,1,41601,Bodo Frank,2,False,Steffen Reinke,other,1999,1
50,In aller Freundschaft,DE,1,48428,Moritz Hegewald,2,False,,other,1999,1
51,In aller Freundschaft,DE,1,1847575,Ron Holzschuh,2,False,Notarzt,other,1999,1
52,In aller Freundschaft,DE,1,48905,Silke Matthias,1,False,Isolde Reinke,other,1999,1
53,In aller Freundschaft,DE,1,1222984,Dietmar Huhn,2,False,Jochen Freytag,other,1999,1
54,In aller Freundschaft,DE,1,23112,Günter Junghans,2,False,Arno Rischke,other,1999,1
55,In aller Freundschaft,DE,1,59376,Heike Jonca,1,False,Gerda Freytag,other,1999,1
56,In aller Freundschaft,DE,1,38622,Torsten Michaelis,2,False,Peter Neuner,other,1999,1
57,In aller Freundschaft,DE,1,1486406,Angela Sandritter,1,False,Simonis Sekretärin,other,1999,1
58,In aller Freundschaft,DE,1,1256854,Nicola Tiggeler,1,False,Asta Bond,other,1999,1
59,In aller Freundschaft,DE,1,1156452,Andreas Arnstedt,2,False,Jonas Funke,other,1999,2
60,In aller Freundschaft,DE,1,1645196,Esther Seibt,1,False,Jenny Geibel,other,1999,2
61,In aller Freundschaft,DE,1,1741416,Matthias Hummitzsch,2,False,Dr. Fred Taler,doctor,1999,2
