,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,"It's Okay, That's Love",KR,1,126881,Gong Hyo-jin,1,True,Ji Hae-soo,doctor (probably),2014,7
1,"It's Okay, That's Love",KR,1,127564,Zo In-sung,2,True,Jang Jae-yeol,doctor (probably),2014,7
2,"It's Okay, That's Love",KR,1,1020859,Sung Dong-il,2,True,Jo Dong-min,doctor (probably),2014,7
3,"It's Okay, That's Love",KR,1,1326172,Lee Kwang-soo,2,True,Park Soo-kwang,doctor (probably),2014,7
4,"It's Okay, That's Love",KR,1,1470219,Doh Kyung-soo,2,True,Han Kang-woo,doctor (probably),2014,7
5,"It's Okay, That's Love",KR,1,1482876,Lee Sung-kyung,1,True,Oh So-nyeo,doctor (probably),2014,7
6,"It's Okay, That's Love",KR,1,108538,Yang Ik-june,2,True,Jang Jae-beom,doctor (probably),2014,7
7,"It's Okay, That's Love",KR,1,560070,Jin Kyung,1,True,Lee Young-jin,doctor (probably),2014,7
8,"It's Okay, That's Love",KR,1,1487437,Cha Hwa-yeon,1,True,Ok-ja,doctor (probably),2014,7
9,"It's Okay, That's Love",KR,1,1676562,Tae Hang-ho,2,True,Yang Tae-Yong,doctor (probably),2014,7
10,"It's Okay, That's Love",KR,1,1492973,Ha Yeon-joo,2,True,Hyun-joo,doctor (probably),2014,7
11,"It's Okay, That's Love",KR,1,1532980,Do Sang-woo,3,True,Choi Ho,doctor (probably),2014,7
12,"It's Okay, That's Love",KR,1,587632,Kim Mi-kyeong,1,True,Ji Hae-soo's mother,doctor (probably),2014,7
13,"It's Okay, That's Love",KR,1,1520280,Seong Yu-bin,2,True,Jang Jae-yeol (young),doctor (probably),2014,7
14,"It's Okay, That's Love",KR,1,1914405,Moon Ji-In,1,True,Lee Min-young,doctor (probably),2014,7
15,"It's Okay, That's Love",KR,1,1122533,Goo Ha-ra,1,False,Female fan,other,2014,9
