,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,"Kill Me, Heal Me",KR,1,132180,Ji Sung,2,True,Cha Do-hyun,doctor (probably),2015,1
1,"Kill Me, Heal Me",KR,1,1252370,Hwang Jung-eum,1,True,Oh Ri-jin,doctor (probably),2015,1
2,"Kill Me, Heal Me",KR,1,1347525,Park Seo-jun,2,True,Oh Ri-on,doctor (probably),2015,1
3,"Kill Me, Heal Me",KR,1,1257577,Kim Yoo-ri,1,True,Han Chae-yeon,doctor (probably),2015,1
4,"Kill Me, Heal Me",KR,1,96659,Ahn Nae-sang,2,True,Cha Joon-pyo,doctor (probably),2015,1
5,"Kill Me, Heal Me",KR,1,1258630,Choi Won-young,2,True,Secretary Ahn Kook,doctor (probably),2015,1
6,"Kill Me, Heal Me",KR,1,1238981,Myung Se-bin,1,True,Min Seo-yeon,doctor (probably),2015,1
7,"Kill Me, Heal Me",KR,1,980289,Oh Min-seok,2,True,Cha Ki-joon,doctor (probably),2015,1
8,"Kill Me, Heal Me",KR,1,1624590,Kim Ye-joon,2,True,Oh Ri-on (young),doctor (probably),2015,1
9,"Kill Me, Heal Me",KR,1,1141434,Yoon Joo,1,False,Jennifer,other,2015,1
10,"Kill Me, Heal Me",KR,1,2332506,Matthew Douma,2,False,Jennifer's Father,other,2015,1
11,"Kill Me, Heal Me",KR,1,77057,Eun-pyo Jeong,2,False,Psychiatrist,medic,2015,1
12,"Kill Me, Heal Me",KR,1,1564794,Kan Mi-youn,1,False,Girlfriend,other,2015,1
13,"Kill Me, Heal Me",KR,1,572172,Woo Hyeon,2,False,Mental Patient,other,2015,1
14,"Kill Me, Heal Me",KR,1,1624588,Koo Jun-yup,2,False,Club Paradise DJ,other,2015,1
15,"Kill Me, Heal Me",KR,1,2805751,Cho Yoon-ho,2,False,Leather Jacket Biker,other,2015,1
16,"Kill Me, Heal Me",KR,1,1169313,Kim Seul-gi,1,False,Heo Sook-hee,other,2015,1
17,"Kill Me, Heal Me",KR,1,1348599,Lee Si-eon,2,False,Dr. Park Min-jae,doctor,2015,1
18,"Kill Me, Heal Me",KR,1,117349,Shim Hye-jin,1,False,Shin Hwa-ran,other,2015,1
19,"Kill Me, Heal Me",KR,1,496937,Kim Young-ae,1,False,Seo Tae-im,other,2015,1
20,"Kill Me, Heal Me",KR,1,150697,Ko Chang-seok,2,False,Seok Ho-pil,other,2015,1
21,"Kill Me, Heal Me",KR,1,2900878,Lee Do-hyun,2,False,Cha Do-hyun (young),other,2015,1
22,"Kill Me, Heal Me",KR,1,1793998,Kim Il-woo,2,False,Cha Young-pyo,other,2015,1
23,"Kill Me, Heal Me",KR,1,118667,Kim Hee-jung,1,False,Ji Soon-young,other,2015,1
24,"Kill Me, Heal Me",KR,1,1260406,Kim Na-woon,1,False,Yoon Ja-kyung,other,2015,1
25,"Kill Me, Heal Me",KR,1,87790,Park Jun-gyu,2,False,Oh Dae-oh,other,2015,1
26,"Kill Me, Heal Me",KR,1,141150,Kim Hyeong-beom,2,False,Mr. Choi,other,2015,1
27,"Kill Me, Heal Me",KR,1,2899996,Jo Chang-geun,2,False,Dr. Kang In-gyu,doctor,2015,1
28,"Kill Me, Heal Me",KR,1,2900006,Choi Hyo-eun,1,False,Nurse Joo Mi-ra,nurse,2015,1
29,"Kill Me, Heal Me",KR,1,1576061,Kang Bong-sung,3,False,Dr. Shin Sun-jo,doctor,2015,1
30,"Kill Me, Heal Me",KR,1,2900860,Kim Min-gyul,1,False,Oh Ri-jin (young),other,2015,1
31,"Kill Me, Heal Me",KR,1,2436213,Heo Ji-woong,2,False,Omega's Editor,other,2015,1
32,"Kill Me, Heal Me",KR,1,1478251,Seo Yi-an,1,False,Hong Ji-sun,other,2015,1
