,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,Medical Center,US,1,15013,Chad Everett,2,True,Joe Gannon,doctor (probably),1969,9
1,Medical Center,US,1,13259,James Daly,2,True,Paul Lochner,doctor (probably),1969,9
2,Medical Center,US,1,19413,Audrey Totter,1,True,Eve Wilcox,doctor (probably),1969,9
3,Medical Center,US,1,1235311,Ed Hall,2,True,Stan Bricker,doctor (probably),1969,9
4,Medical Center,US,1,19415,Jayne Meadows,1,True,Nurse Chambers,nurse,1969,9
5,Medical Center,US,1,1235312,Virginia Hawkins,1,True,Evvie Canford,doctor (probably),1969,9
6,Medical Center,US,1,68812,Ed Asner,2,False,,other,1969,9
7,Medical Center,US,1,12951,O.J. Simpson,2,False,,other,1969,9
8,Medical Center,US,1,37712,Dana Elcar,2,False,,other,1969,9
9,Medical Center,US,1,160736,Sheila Larken,1,False,Nurse Anne Wittley,nurse,1969,10
10,Medical Center,US,1,136222,Helen Boll,1,False,Emergency Nurse,nurse,1969,10
11,Medical Center,US,1,18192,Jason Bernard,2,False,,other,1969,10
12,Medical Center,US,1,16096,France Nuyen,1,False,,other,1969,10
13,Medical Center,US,1,130327,JoAnna Cameron,1,False,Lainie Jeffries,other,1969,11
14,Medical Center,US,1,18737,Mercedes McCambridge,1,False,,other,1970,2
15,Medical Center,US,2,15013,Chad Everett,2,True,Joe Gannon,doctor (probably),1970,9
16,Medical Center,US,2,13259,James Daly,2,True,Paul Lochner,doctor (probably),1970,9
17,Medical Center,US,2,19413,Audrey Totter,1,True,Eve Wilcox,doctor (probably),1970,9
18,Medical Center,US,2,1235311,Ed Hall,2,True,Stan Bricker,doctor (probably),1970,9
19,Medical Center,US,2,19415,Jayne Meadows,1,True,Nurse Chambers,nurse,1970,9
20,Medical Center,US,2,1235312,Virginia Hawkins,1,True,Evvie Canford,doctor (probably),1970,9
21,Medical Center,US,2,86343,Salome Jens,1,False,,other,1970,9
22,Medical Center,US,2,38232,Hugh Beaumont,2,False,,other,1970,11
23,Medical Center,US,2,165603,Joan Delaney,1,False,Janice Wilcox,other,1970,11
24,Medical Center,US,3,15013,Chad Everett,2,True,Joe Gannon,doctor (probably),1971,9
25,Medical Center,US,3,13259,James Daly,2,True,Paul Lochner,doctor (probably),1971,9
26,Medical Center,US,3,19413,Audrey Totter,1,True,Eve Wilcox,doctor (probably),1971,9
27,Medical Center,US,3,1235311,Ed Hall,2,True,Stan Bricker,doctor (probably),1971,9
28,Medical Center,US,3,19415,Jayne Meadows,1,True,Nurse Chambers,nurse,1971,9
29,Medical Center,US,3,1235312,Virginia Hawkins,1,True,Evvie Canford,doctor (probably),1971,9
30,Medical Center,US,3,160736,Sheila Larken,1,False,Nurse Anne Wittley,nurse,1971,12
31,Medical Center,US,3,103940,Diana Sands,1,False,,other,1971,12
32,Medical Center,US,3,116739,Fay Spain,1,False,,other,1971,12
33,Medical Center,US,3,89040,Ed Nelson,2,False,,other,1971,12
34,Medical Center,US,3,30051,Willie Aames,2,False,,other,1971,12
35,Medical Center,US,3,15968,Glenn Corbett,2,False,,other,1971,12
36,Medical Center,US,4,15013,Chad Everett,2,True,Joe Gannon,doctor (probably),1972,9
37,Medical Center,US,4,13259,James Daly,2,True,Paul Lochner,doctor (probably),1972,9
38,Medical Center,US,4,19413,Audrey Totter,1,True,Eve Wilcox,doctor (probably),1972,9
39,Medical Center,US,4,1235311,Ed Hall,2,True,Stan Bricker,doctor (probably),1972,9
40,Medical Center,US,4,1235312,Virginia Hawkins,1,True,Evvie Canford,doctor (probably),1972,9
41,Medical Center,US,4,8499,William Windom,2,False,,other,1972,9
42,Medical Center,US,4,90520,Susan Oliver,1,False,,other,1972,9
43,Medical Center,US,4,11140,Lynn Carlin,1,False,,other,1972,9
44,Medical Center,US,4,153416,James Stacy,2,False,,other,1972,9
45,Medical Center,US,4,47503,Nancy Walker,1,False,,other,1972,9
46,Medical Center,US,4,161769,Pamela Payton-Wright,1,False,,other,1972,9
47,Medical Center,US,4,1217462,Michael Masters,2,False,,other,1972,9
48,Medical Center,US,4,83442,Lola Albright,1,False,,other,1972,10
49,Medical Center,US,4,78396,Stephen R. Hudis,2,False,,other,1972,10
50,Medical Center,US,4,158936,Tim O'Connor,2,False,,other,1972,10
51,Medical Center,US,4,6461,Estelle Parsons,1,False,,other,1972,10
52,Medical Center,US,4,115178,Kristoffer Tabori,2,False,,other,1972,10
53,Medical Center,US,4,14785,Harry Guardino,2,False,,other,1972,10
54,Medical Center,US,4,153460,Robert H. Harris,2,False,,other,1972,10
55,Medical Center,US,4,97782,Marcia Rodd,1,False,,other,1972,10
56,Medical Center,US,4,14108,Joyce Van Patten,1,False,,other,1972,10
57,Medical Center,US,4,41283,Geraldine Page,1,False,,other,1972,10
58,Medical Center,US,4,61150,Charles Aidman,2,False,,other,1972,10
59,Medical Center,US,4,13946,Paul Burke,2,False,,other,1972,11
60,Medical Center,US,4,189479,Peter Kastner,2,False,,other,1972,11
61,Medical Center,US,4,16014,Diana Muldaur,1,False,,other,1972,11
62,Medical Center,US,4,102860,Darleen Carr,1,False,,other,1972,11
63,Medical Center,US,4,152647,Peter Haskell,2,False,,other,1972,11
64,Medical Center,US,4,30272,George Tobias,2,False,,other,1972,11
65,Medical Center,US,4,41246,Lee Purcell,1,False,,other,1972,11
66,Medical Center,US,4,1213057,Jim Poyner,2,False,,other,1972,11
67,Medical Center,US,4,29273,Gilbert Roland,2,False,,other,1972,11
68,Medical Center,US,4,24880,George Chakiris,2,False,,other,1972,11
69,Medical Center,US,4,152716,Carmen Zapata,1,False,,other,1972,11
70,Medical Center,US,4,160643,Rosa Turich,1,False,,other,1972,11
71,Medical Center,US,4,18328,Ken Howard,2,False,,other,1972,11
72,Medical Center,US,4,127260,Louise Sorel,1,False,,other,1972,11
73,Medical Center,US,4,89841,Kay Medford,1,False,,other,1972,11
