,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,Monroe,GB,1,34715,James Nesbitt,2,True,Gabriel Monroe,doctor (probably),2011,3
1,Monroe,GB,1,17693,Sarah Parish,1,True,,doctor (probably),2011,3
2,Monroe,GB,1,47702,Tom Riley,2,True,,doctor (probably),2011,3
3,Monroe,GB,1,42571,Susan Lynch,1,True,,doctor (probably),2011,3
4,Monroe,GB,1,1232756,Phoebe Dynevor,1,True,,doctor (probably),2011,3
5,Monroe,GB,1,1092559,Manjinder Virk,1,True,Sally Fortune,doctor (probably),2011,3
6,Monroe,GB,1,990119,Andrew Gower,2,False,andrew mullery,doctor,2011,3
7,Monroe,GB,1,1584566,Matthew Needham,2,False,David Foster,other,2011,3
8,Monroe,GB,2,34715,James Nesbitt,2,True,Gabriel Monroe,doctor (probably),2012,10
9,Monroe,GB,2,17693,Sarah Parish,1,True,,doctor (probably),2012,10
10,Monroe,GB,2,47702,Tom Riley,2,True,,doctor (probably),2012,10
11,Monroe,GB,2,42571,Susan Lynch,1,True,,doctor (probably),2012,10
12,Monroe,GB,2,1232756,Phoebe Dynevor,1,True,,doctor (probably),2012,10
