,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,Offspring,AU,1,79089,Don Hany,2,True,,doctor (probably),2010,8
1,Offspring,AU,1,125565,Asher Keddie,1,True,Nina Proudman,doctor (probably),2010,8
2,Offspring,AU,1,228704,Deborah Mailman,1,True,,doctor (probably),2010,8
3,Offspring,AU,1,75182,Kat Stewart,1,True,Billie Proudman,doctor (probably),2010,8
4,Offspring,AU,1,1219994,Richard Davies,2,True,Jimmy Proudman,doctor (probably),2010,8
5,Offspring,AU,1,61635,Linda Cropper,1,True,Geraldine Proudman,doctor (probably),2010,8
6,Offspring,AU,1,209871,Jane Harber,1,True,Zara Perkich,doctor (probably),2010,8
7,Offspring,AU,1,1344427,Alicia Gardiner,1,True,Kim Akerholt,doctor (probably),2010,8
8,Offspring,AU,1,1180827,Eddie Perfect,2,True,Mick Holland,doctor (probably),2010,8
9,Offspring,AU,1,1068123,John Waters,2,True,,doctor (probably),2010,8
10,Offspring,AU,1,75488,Matthew Le Nevez,2,True,,doctor (probably),2010,8
11,Offspring,AU,1,75122,Lachy Hulme,2,True,,doctor (probably),2010,8
12,Offspring,AU,1,1252299,Clare Bowditch,1,True,Rosanna Harding,doctor (probably),2010,8
13,Offspring,AU,1,1325836,Christopher Morris,2,False,,other,2010,8
14,Offspring,AU,1,2116647,Scott Johnson,2,False,Tim,other,2010,8
15,Offspring,AU,1,1531162,Sharni Page,1,False,Helen,other,2010,8
16,Offspring,AU,1,80266,Kate Atkinson,1,False,Renee,other,2010,9
17,Offspring,AU,1,1893675,Shannon Berry,1,False,Brody Jordan,other,2010,10
18,Offspring,AU,2,79089,Don Hany,2,True,,doctor (probably),2011,5
19,Offspring,AU,2,125565,Asher Keddie,1,True,Nina Proudman,doctor (probably),2011,5
20,Offspring,AU,2,228704,Deborah Mailman,1,True,,doctor (probably),2011,5
21,Offspring,AU,2,75182,Kat Stewart,1,True,Billie Proudman,doctor (probably),2011,5
22,Offspring,AU,2,1219994,Richard Davies,2,True,Jimmy Proudman,doctor (probably),2011,5
23,Offspring,AU,2,61635,Linda Cropper,1,True,Geraldine Proudman,doctor (probably),2011,5
24,Offspring,AU,2,209871,Jane Harber,1,True,Zara Perkich,doctor (probably),2011,5
25,Offspring,AU,2,1344427,Alicia Gardiner,1,True,Kim Akerholt,doctor (probably),2011,5
26,Offspring,AU,2,1180827,Eddie Perfect,2,True,Mick Holland,doctor (probably),2011,5
27,Offspring,AU,2,1068123,John Waters,2,True,,doctor (probably),2011,5
28,Offspring,AU,2,75488,Matthew Le Nevez,2,True,,doctor (probably),2011,5
29,Offspring,AU,2,75122,Lachy Hulme,2,True,,doctor (probably),2011,5
30,Offspring,AU,2,1252299,Clare Bowditch,1,True,Rosanna Harding,doctor (probably),2011,5
31,Offspring,AU,2,80266,Kate Atkinson,1,False,Renee,other,2011,5
32,Offspring,AU,3,79089,Don Hany,2,True,,doctor (probably),2012,4
33,Offspring,AU,3,125565,Asher Keddie,1,True,Nina Proudman,doctor (probably),2012,4
34,Offspring,AU,3,228704,Deborah Mailman,1,True,,doctor (probably),2012,4
35,Offspring,AU,3,75182,Kat Stewart,1,True,Billie Proudman,doctor (probably),2012,4
