,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,Private Practice,US,1,61114,Kate Walsh,1,True,Addison Montgomery,doctor,2007,9
1,Private Practice,US,1,17342,Paul Adelstein,2,True,Cooper Freedman,doctor,2007,9
2,Private Practice,US,1,68122,Tim Daly,2,True,Pete Wilder,doctor,2007,9
3,Private Practice,US,1,20388,KaDee Strickland,1,True,Charlotte King,doctor,2007,9
4,Private Practice,US,1,187565,Audra McDonald,1,True,Naomi Bennett,doctor,2007,9
5,Private Practice,US,1,84300,Chris Lowell,2,True,Dell Parker,nurse,2007,9
6,Private Practice,US,1,17637,Taye Diggs,2,True,Sam Bennett,doctor,2007,9
7,Private Practice,US,1,15851,Amy Brenneman,1,True,Violet Turner,medic,2007,9
8,Private Practice,US,1,25544,James Pickens Jr.,2,False,Dr. Richard Webber,doctor,2007,9
9,Private Practice,US,1,54679,Rebecca Mader,1,False,Leslie,other,2007,9
10,Private Practice,US,1,43372,Stacy Edwards,1,False,Maria Wilson,other,2007,9
11,Private Practice,US,1,140387,Moon Unit Zappa,1,False,Jenny,other,2007,9
12,Private Practice,US,1,33836,Sean O'Bryan,2,False,Dave Walker,other,2007,10
13,Private Practice,US,1,8656,Dorian Harewood,2,False,Duncan Stinson,other,2007,10
14,Private Practice,US,1,31714,Stacey Travis,1,False,Paige Merring,other,2007,10
15,Private Practice,US,1,58045,Molly Hagan,1,False,Karen Adams,other,2007,10
16,Private Practice,US,1,42133,Nina Siemaszko,1,False,Kathleen,other,2007,10
17,Private Practice,US,1,1043304,Andy Milder,2,False,Doug Adams,other,2007,10
18,Private Practice,US,1,209225,Ellery Sprayberry,1,False,Sasha,other,2007,10
19,Private Practice,US,1,109784,Karley Scott Collins,1,False,Erin,other,2007,10
20,Private Practice,US,1,1224168,Drew Osborne,2,False,,other,2007,10
21,Private Practice,US,1,1219512,Dinah Lenney,1,False,Mrs. Hobart,other,2007,10
22,Private Practice,US,1,20645,Mageina Tovah,1,False,Rebecca Hobart,other,2007,10
23,Private Practice,US,1,148096,Miles Heizer,2,False,Michael,other,2007,10
24,Private Practice,US,1,69504,Debra Mooney,1,False,Sylvie,other,2007,10
25,Private Practice,US,1,46773,Parisa Fitz-Henley,1,False,Cami Davis,other,2007,10
26,Private Practice,US,1,59261,Hannah Marks,1,False,Ruby,other,2007,10
27,Private Practice,US,1,166594,David Newsom,2,False,John Burton,other,2007,10
28,Private Practice,US,1,16841,Brett Cullen,2,False,Allan,other,2007,10
29,Private Practice,US,1,26008,Gordon Clapp,2,False,Coach Mike,other,2007,10
30,Private Practice,US,1,55314,Kimberly Elise,1,False,Angie Paget,other,2007,10
31,Private Practice,US,1,65362,Holliston Coleman,1,False,Tess Sullivan,other,2007,10
32,Private Practice,US,1,8694,Corey Reynolds,2,False,Ray Paget,other,2007,10
33,Private Practice,US,1,99351,Valerie Mahaffey,1,False,Marilyn Sullivan,other,2007,10
34,Private Practice,US,1,2208881,Stacy Reed Payton,1,False,Sara Hill,other,2007,11
35,Private Practice,US,1,56162,Josh Randall,2,False,Carl,other,2007,11
36,Private Practice,US,1,35467,Keiko Agena,1,False,Sister Amy,other,2007,11
37,Private Practice,US,1,27544,Tom Irwin,2,False,Father Mark,other,2007,11
38,Private Practice,US,1,1216142,Joy Jorgensen,1,False,Darcy,other,2007,11
