,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,Scrubs,US,1,5367,Zach Braff,2,True,"John ""J.D."" Dorian",doctor (probably),2001,10
1,Scrubs,US,1,49002,Donald Faison,2,True,Christopher Turk,doctor,2001,10
2,Scrubs,US,1,11885,John C. McGinley,2,True,Perry Cox,doctor,2001,10
3,Scrubs,US,1,49001,Sarah Chalke,1,True,Elliot Reid,doctor,2001,10
4,Scrubs,US,1,159657,Judy Reyes,1,True,Carla Espinosa,nurse,2001,10
5,Scrubs,US,1,38570,Ken Jenkins,2,True,Bob Kelso,doctor,2001,10
6,Scrubs,US,1,43776,Neil Flynn,2,True,Janitor,doctor (probably),2001,10
7,Scrubs,US,1,116907,Marshall Manesh,2,False,Pizza Guy,other,2001,10
8,Scrubs,US,1,1231142,Michael Hobert,2,False,Pizza Guy,other,2001,10
9,Scrubs,US,1,1236034,Jake Fritz,2,False,Billy,other,2001,10
10,Scrubs,US,1,1580500,Mary Gillis,1,False,Mrs Pratt,other,2001,10
11,Scrubs,US,1,61408,Timmy Deters,2,False,Boy,other,2001,10
12,Scrubs,US,1,1949249,Lynne Maclean,1,False,Nurse Kearney,nurse,2001,10
13,Scrubs,US,1,1217812,Shannon Welles,1,False,Old Woman,other,2001,10
14,Scrubs,US,1,2206635,Ted Rogers,2,False,Mr. Burski,other,2001,10
15,Scrubs,US,1,46920,Sam Lloyd,2,False,Ted,other,2001,10
16,Scrubs,US,1,1216705,Robert Maschio,2,False,Todd,other,2001,10
17,Scrubs,US,1,35521,Matt Winston,2,False,Jeffrey Steadman,other,2001,10
18,Scrubs,US,1,49551,Aloma Wright,1,False,Laverne Roberts,nurse,2001,10
19,Scrubs,US,1,151383,John Ducey,2,False,Will Forte,other,2001,10
20,Scrubs,US,1,2206637,Randi Kaplan,1,False,Patient,other,2001,10
21,Scrubs,US,1,5613,Jack Walsh,2,False,Unconscious Patient,other,2001,10
22,Scrubs,US,1,128155,Johnny Kastl,2,False,Doug,other,2001,10
