,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,Shortland Street,NZ,2,1236970,Michael Galvin,2,True,Chris Warner,doctor (probably),1992,12
1,Shortland Street,NZ,2,1236966,Angela Bloomfield,1,True,Rachel McKenna,doctor (probably),1992,12
2,Shortland Street,NZ,2,66584,Liddy Holloway,1,True,Alex McKenna,doctor (probably),1992,12
3,Shortland Street,NZ,2,1372,Karl Urban,2,True,Jamie Forrest,doctor (probably),1992,12
4,Shortland Street,NZ,2,2535027,Maggie Harper,1,True,Jenny Harrison,doctor (probably),1992,12
5,Shortland Street,NZ,2,2535029,Stephanie Wilkin,1,True,Meredith Fleming,doctor (probably),1992,12
6,Shortland Street,NZ,2,2535037,Glynis McNicoll,1,True,Lady Margot Warner,doctor (probably),1992,12
7,Shortland Street,NZ,2,2535042,Ezra Wood,2,True,Andrew Fleming,doctor,1992,12
8,Shortland Street,NZ,2,2535057,Moana Maniapoto-Jackson,0,True,Te Aniwa Ryan,doctor (probably),1992,12
9,Shortland Street,NZ,2,220111,Angela Marie Dotchin,1,True,Kirsty Knight,doctor (probably),1992,12
10,Shortland Street,NZ,2,66577,Danielle Cormack,1,True,Alison Raynor,doctor (probably),1992,12
11,Shortland Street,NZ,2,1399812,Elizabeth McRae,1,True,Marj Neilson,doctor (probably),1992,12
12,Shortland Street,NZ,2,26291,Martin Henderson,2,True,Stuart Neilson,doctor (probably),1992,12
13,Shortland Street,NZ,2,173481,Paul Gittins,2,True,Michael McKenna,doctor (probably),1992,12
14,Shortland Street,NZ,2,221143,Andrew Robertt,2,True,Steve Mills,doctor (probably),1992,12
15,Shortland Street,NZ,2,1399779,Karl Burnett,2,True,Nick Harrison,doctor (probably),1992,12
16,Shortland Street,NZ,2,144913,Nancy Brunning,1,True,Jaki Manu,doctor (probably),1992,12
17,Shortland Street,NZ,2,1230318,Lisa Crittenden,1,True,Carrie Burton,doctor (probably),1992,12
18,Shortland Street,NZ,2,1231487,Josephine Davison,1,True,Gina Rossi,doctor (probably),1992,12
19,Shortland Street,NZ,2,2521097,Adrian Keeling,2,True,Tom Neilson,doctor (probably),1992,12
20,Shortland Street,NZ,2,7242,Temuera Morrison,2,True,Hone Ropata,doctor,1992,12
21,Shortland Street,NZ,2,1239572,Ken Blackburn,2,True,Sir Bruce Warner,doctor (probably),1992,12
22,Shortland Street,NZ,2,73883,Rene Naufahu,2,True,Sam Aleni,doctor (probably),1992,12
23,Shortland Street,NZ,2,87728,Willa O'Neill,1,True,Serena Hughes,doctor (probably),1992,12
24,Shortland Street,NZ,2,28739,Kevin J. Wilson,2,True,Declan Kennedy,doctor (probably),1992,12
25,Shortland Street,NZ,2,154873,Kieren Hutchison,1,True,Jonathon McKenna,doctor (probably),1992,12
26,Shortland Street,NZ,2,1238425,Simon Prast,2,True,Paul Churchill,doctor (probably),1992,12
