,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,Sob Pressão,BR,1,932961,Júlio Andrade,2,True,Dr. Evandro,doctor,2017,7
1,Sob Pressão,BR,1,1293440,Letícia Isnard,1,True,Violeta,doctor (probably),2017,7
2,Sob Pressão,BR,1,973901,Marjorie Estiano,1,True,Dra. Carolina,doctor,2017,7
3,Sob Pressão,BR,1,112110,Stepan Nercessian,2,True,Dr. Samuel Fagundes,doctor,2017,7
4,Sob Pressão,BR,2,932961,Júlio Andrade,2,True,Dr. Evandro,doctor,2018,10
5,Sob Pressão,BR,2,973901,Marjorie Estiano,1,True,Dra. Carolina,doctor,2018,10
6,Sob Pressão,BR,2,112110,Stepan Nercessian,2,True,Dr. Samuel Fagundes,doctor,2018,10
7,Sob Pressão,BR,3,932961,Júlio Andrade,2,True,Dr. Evandro,doctor,2019,5
8,Sob Pressão,BR,3,973901,Marjorie Estiano,1,True,Dra. Carolina,doctor,2019,5
9,Sob Pressão,BR,3,112110,Stepan Nercessian,2,True,Dr. Samuel Fagundes,doctor,2019,5
10,Sob Pressão,BR,4,932961,Júlio Andrade,2,True,Dr. Evandro,doctor,2021,8
11,Sob Pressão,BR,4,973901,Marjorie Estiano,1,True,Dra. Carolina,doctor,2021,8
12,Sob Pressão,BR,4,130038,Matheus Costa,2,True,José Carlos (Joca),doctor (probably),2021,8
13,Sob Pressão,BR,5,932961,Júlio Andrade,2,True,Dr. Evandro,doctor,2022,6
14,Sob Pressão,BR,5,973901,Marjorie Estiano,1,True,Dra. Carolina,doctor,2022,6
