,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,The Flying Doctors,AU,1,127135,Robert Grubb,2,True,Dr. Geoff Standish,doctor,1986,5
1,The Flying Doctors,AU,1,1215129,Liz Burch,1,True,Dr. Chris Randall,doctor,1986,5
2,The Flying Doctors,AU,1,128957,Andrew McFarlane,2,True,Dr. Tom Callaghan,doctor,1986,5
3,The Flying Doctors,AU,1,1235186,Mark Little,2,False,Ron 'Roughneck' Miller,other,1986,5
4,The Flying Doctors,AU,1,125534,Martin Vaughan,2,False,Ted Hudson,other,1986,5
5,The Flying Doctors,AU,1,1239918,Mark Hennessy,2,False,Colin Hudson,other,1986,5
6,The Flying Doctors,AU,1,3339889,Glennen Fahey,0,False,Paul Hudson,other,1986,5
7,The Flying Doctors,AU,1,1712934,Simon Thorpe,2,False,Mellow Truckie,other,1986,5
8,The Flying Doctors,AU,1,2517450,Chris Connelly,2,False,Ray Masters,other,1986,5
9,The Flying Doctors,AU,1,1233710,Lloyd Cunnington,2,False,Jim Spencer,other,1986,5
10,The Flying Doctors,AU,1,1230266,Margo McLennan,1,False,Helen Spencer,other,1986,5
11,The Flying Doctors,AU,1,2395466,Kylie Belling,1,False,Sharon Herbert,other,1986,5
12,The Flying Doctors,AU,1,1224717,Lenore Smith,1,False,Kate Wellings,other,1986,5
13,The Flying Doctors,AU,1,1217081,Gil Tucker,2,False,Joe Forrest,other,1986,5
14,The Flying Doctors,AU,1,3339818,Carmel Millhouse,1,False,Matron Fischer,other,1986,5
15,The Flying Doctors,AU,1,1220988,John Frawley,2,False,Dr. Turner,doctor,1986,5
16,The Flying Doctors,AU,1,222623,Pat Evison,1,False,Violet Carnegie,other,1986,5
17,The Flying Doctors,AU,1,3339891,Frank Ottenson,2,False,Old Codger 1,other,1986,5
18,The Flying Doctors,AU,1,3339892,Herb Krause,2,False,Old Codger 2,other,1986,5
19,The Flying Doctors,AU,1,1230287,Terry Gill,2,False,Sgt. Carruthers,other,1986,5
20,The Flying Doctors,AU,1,81464,Bruce Barry,2,False,George Baxter,other,1986,5
21,The Flying Doctors,AU,1,1235187,Val Jellay,1,False,Nancy Buckley,other,1986,5
22,The Flying Doctors,AU,1,113558,Maurie Fields,2,False,Vic Buckley,other,1986,5
23,The Flying Doctors,AU,1,28099,Lewis Fitz-Gerald,2,False,David Gibson,other,1986,5
24,The Flying Doctors,AU,1,3339903,Wendy Madigan,1,False,Joanne Stewart,other,1986,5
25,The Flying Doctors,AU,1,3339904,Katrina Lambert,1,False,Sarah Stuart,other,1986,5
26,The Flying Doctors,AU,1,186898,Neil Melville,2,False,Niall Robertson,other,1986,5
27,The Flying Doctors,AU,1,222624,Lorna Lesley,1,False,Janice Robertson,other,1986,5
28,The Flying Doctors,AU,1,2132219,Richard Chambers,2,False,Alfred Robertson,other,1986,5
29,The Flying Doctors,AU,1,3342016,David Hall,2,False,Alexander Robertson,other,1986,5
30,The Flying Doctors,AU,1,3342018,Maija Maleckas,1,False,Meg Robertson,other,1986,5
31,The Flying Doctors,AU,1,3342020,John Proper,2,False,Peter Varney,other,1986,5
32,The Flying Doctors,AU,1,1321476,Willie Fennell,2,False,Rabbit Cox,other,1986,6
33,The Flying Doctors,AU,1,1547432,Robina Beard,1,False,Dot Collins,other,1986,6
34,The Flying Doctors,AU,1,119140,Ed Turley,2,False,Barwick,other,1986,6
35,The Flying Doctors,AU,1,3343139,Doug Bennett,2,False,Harry,other,1986,6
36,The Flying Doctors,AU,1,38665,Max Cullen,2,False,Hurtle,other,1986,6
37,The Flying Doctors,AU,1,2756585,Mark Neal,2,False,Bruce Hayes,other,1986,6
38,The Flying Doctors,AU,1,3350758,Rowena Mohr,1,False,Joylene,other,1986,6
39,The Flying Doctors,AU,1,1230261,Peter Curtin,2,False,Clive Hayes,other,1986,6
40,The Flying Doctors,AU,1,1226165,Brian Mannix,2,False,Max,other,1986,6
