,show_name,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,The Good Doctor,1,1281,Freddie Highmore,2,True,Shaun Murphy,doctor (probably),2017,9
1,The Good Doctor,1,31028,Richard Schiff,2,True,Aaron Glassman,doctor (probably),2017,9
2,The Good Doctor,1,61852,Nicholas Gonzalez,2,True,Neil Melendez,doctor (probably),2017,9
3,The Good Doctor,1,57686,Hill Harper,2,True,Marcus Andrews,doctor,2017,9
4,The Good Doctor,1,1610710,Chuku Modu,2,True,Jared Kalu,doctor (probably),2017,9
5,The Good Doctor,1,20403,Beau Garrett,1,True,Jessica Preston,doctor (probably),2017,9
6,The Good Doctor,1,3134,Tamlyn Tomita,1,True,Allegra Aoki,doctor (probably),2017,9
7,The Good Doctor,1,221981,Antonia Thomas,1,True,Claire Browne,doctor (probably),2017,9
8,The Good Doctor,1,1005920,Irene Keng,1,False,Elle McLean,other,2017,9
9,The Good Doctor,1,2434757,Orlando Lucas,2,False,Adam,other,2017,9
10,The Good Doctor,1,1564501,Miranda Edwards,1,False,Bonnie,other,2017,9
11,The Good Doctor,1,2047493,Matthew Mandzij,2,False,Carl,other,2017,9
12,The Good Doctor,1,55588,Roman Podhora,2,False,Callum Reilly,other,2017,9
13,The Good Doctor,1,1475788,Rebecca Husain,1,False,Marcie Murphy,other,2017,9
14,The Good Doctor,1,1406026,Arielle Tuliao,1,False,Assistant,medic,2017,9
15,The Good Doctor,1,106776,Sam Vincent,2,False,Doctor,doctor,2017,9
16,The Good Doctor,1,1476559,Tim Zhang,2,False,EMT #1,medic,2017,9
17,The Good Doctor,1,183016,Dalias Blake,2,False,Hospital Security Guard,other,2017,9
18,The Good Doctor,1,1476041,Mike Li,2,False,Nurse,nurse,2017,9
19,The Good Doctor,1,2434759,Gavin Cooke,2,False,TSA Officer,other,2017,9
20,The Good Doctor,1,2434760,Chance Moore,2,False,Soccer Kid,other,2017,9
21,The Good Doctor,1,2434761,Carson Sanca,2,False,Soccer Kid 1,other,2017,9
22,The Good Doctor,1,2434762,Cassius Morrison,2,False,Soccer Kid 2,other,2017,9
23,The Good Doctor,1,2434763,Zachary Choe,2,False,Soccer Kid 3,other,2017,9
24,The Good Doctor,1,89025,Kirby Morrow,2,False,Ethan Murphy,other,2017,9
25,The Good Doctor,1,1435838,Dylan Kingwell,2,False,Steve Murphy,other,2017,9
26,The Good Doctor,1,1529426,Graham Verchere,2,False,Shaun Murphy,other,2017,9
27,The Good Doctor,1,1222945,Jasika Nicole,1,False,Carly Lever,other,2017,10
28,The Good Doctor,1,23706,Eve Gordon,1,False,Nurse Fryday,nurse,2017,10
29,The Good Doctor,1,91215,Nancy Stone,1,False,Stephanie Willis,other,2017,10
30,The Good Doctor,1,171726,Darrin Baker,2,False,Trevor,other,2017,10
31,The Good Doctor,1,1874357,John Murphy,2,False,Jerry,other,2017,10
32,The Good Doctor,1,1927935,Meghan Gardiner,1,False,Cecile,other,2017,10
33,The Good Doctor,1,1862357,Britt Loder,1,False,Martine,other,2017,10
34,The Good Doctor,1,1366705,Rocky Anderson,0,False,Mitchell,other,2017,10
35,The Good Doctor,1,1482604,Benjamin Charles Watson,2,False,Matthew,other,2017,10
36,The Good Doctor,1,39360,Lucia Walters,1,False,Dr. Park,doctor,2017,10
37,The Good Doctor,1,2434749,Rebecca Garcia,1,False,Carole,other,2017,10
38,The Good Doctor,1,1085644,Aadila Dosani,1,False,Nurse #1,nurse,2017,10
39,The Good Doctor,1,1864410,Hannah Pederson,1,False,Nurse #2,nurse,2017,10
40,The Good Doctor,1,2434753,Vaughn Clements,2,False,Friendly Neighbor,other,2017,10
41,The Good Doctor,1,64676,Peter Hall,2,False,Farmhouse Owner #1,other,2017,10
42,The Good Doctor,1,1369363,Gaalen Engen,2,False,Farmhouse Owner #2,other,2017,10
43,The Good Doctor,1,1499023,Robert Corness,0,False,Old Man,other,2017,10
44,The Good Doctor,1,58902,Zahf Paroo,2,False,Ashique Selim,other,2017,10
45,The Good Doctor,1,1454610,Paige Spara,1,False,Lea Dilallo,other,2017,10
46,The Good Doctor,1,55538,Tim Russ,2,False,Chuck,other,2017,10
47,The Good Doctor,1,77039,Michael St. John Smith,2,False,John Wannamaker,other,2017,10
48,The Good Doctor,1,1884447,Angela Palmer,1,False,Katt,other,2017,10
49,The Good Doctor,1,1475796,Blair Penner,2,False,SFPD Cop,other,2017,10
50,The Good Doctor,1,1882899,Donald Sales,2,False,Controller,other,2017,10
51,The Good Doctor,1,1772038,Serge Jaswal,0,False,Brad,other,2017,10
52,The Good Doctor,1,1946466,Trent Redekop,2,False,Cashier,other,2017,10
53,The Good Doctor,1,1066283,Victoria Bidewell,1,False,Liaison,other,2017,10
54,The Good Doctor,1,1287152,William Vaughan,2,False,Casper Deputy #1,other,2017,10
55,The Good Doctor,1,1368729,Adam Lolacher,2,False,Casper Deputy #2,other,2017,10
56,The Good Doctor,1,1844938,Shiren Van Cooten,1,False,Social Worker,other,2017,10
57,The Good Doctor,1,228890,Jesse Reid,2,False,Surgical Resident,other,2017,10
58,The Good Doctor,1,1376352,Taylor Hastings,1,False,Surgical Assist,other,2017,10
59,The Good Doctor,1,1228455,Judith Maxie,1,False,Chuck's Wife,other,2017,10
60,The Good Doctor,1,1880613,Hector Johnson,2,False,Chuck's Brother,other,2017,10
61,The Good Doctor,1,2434738,Ken Do,2,False,Handsome Young Man,other,2017,10
