,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,The Resident,US,1,55547,Matt Czuchry,2,True,Conrad Hawkins,doctor (probably),2018,1
1,The Resident,US,1,964971,Manish Dayal,2,True,Devon Pravesh,doctor (probably),2018,1
2,The Resident,US,1,1787399,Shaunette Renée Wilson,1,True,Mina Okafor,doctor (probably),2018,1
3,The Resident,US,1,21089,Bruce Greenwood,2,True,Randolph Bell,doctor (probably),2018,1
4,The Resident,US,1,25972,Melina Kanakaredes,1,True,Lane Hunter,doctor (probably),2018,1
5,The Resident,US,1,84247,Emily VanCamp,1,True,Nicolette 'Nic' Nevin,doctor (probably),2018,1
6,The Resident,US,1,84261,Moran Atias,1,True,Renata Morali,doctor (probably),2018,1
7,The Resident,US,1,1214164,Merrin Dungey,1,True,Claire Thorpe,doctor (probably),2018,1
8,The Resident,US,1,1515230,Violett Beane,1,False,Lily Ahn,other,2018,1
9,The Resident,US,1,1518215,Michael Patrick Lane,2,False,Ross Evans,other,2018,1
10,The Resident,US,1,1371546,Alexa Mansour,1,False,Chloe Goddard,other,2018,1
11,The Resident,US,1,1650169,Coley Campany,0,False,Chloe's Mother,other,2018,1
12,The Resident,US,1,1692774,Tequilla Whitfield,0,False,Cheryl Poole,other,2018,1
13,The Resident,US,1,1718567,Elizabeth Faith Ludlow,1,False,Cara Ramirez,other,2018,1
14,The Resident,US,1,1253194,Tasie Lawrence,1,False,Priya Nair,other,2018,1
15,The Resident,US,1,1668533,Tasso Feldman,2,False,Irving Feldman,other,2018,1
16,The Resident,US,1,1890583,Caroline Arapoglou,1,False,Noni Turner,other,2018,1
17,The Resident,US,1,232525,Warren Christie,2,False,Jude Silva,other,2018,1
18,The Resident,US,1,4734,Jenny O'Hara,1,False,Shirley Harris,other,2018,2
19,The Resident,US,1,1795607,Jahi Di'Allo Winston,2,False,Trevor Conforth,other,2018,2
20,The Resident,US,1,157085,Vernee Watson-Johnson,1,False,Mary Phillips,other,2018,3
21,The Resident,US,1,43277,Joanne Kelly,1,False,Catherine Loy,other,2018,3
22,The Resident,US,1,44578,Lana Young,1,False,Marie Osder,other,2018,3
23,The Resident,US,1,1220755,Erika Slezak,1,False,Eileen Jacoby,other,2018,4
24,The Resident,US,1,21629,Tzi Ma,2,False,Ted Zhou,other,2018,4
25,The Resident,US,1,2010250,Chris Mayers,2,False,Steven Butler,other,2018,4
26,The Resident,US,1,967944,Darla Delgado,1,False,Elena Olivera,other,2018,4
27,The Resident,US,1,1610941,Lyman Chen,2,False,Bodyguard,other,2018,4
28,The Resident,US,1,202691,Emil Beheshti,2,False,Arthur Franklin,other,2018,4
29,The Resident,US,1,112562,Catherine Dyer,1,False,Alexis Stevens,other,2018,4
30,The Resident,US,1,1718319,Jessica Miesel,1,False,Jessica Moore,other,2018,4
31,The Resident,US,1,455033,Matt Shively,2,False,TJ Chioffi,other,2018,4
32,The Resident,US,1,1198050,Brooke Butler,1,False,Julie Guilford,other,2018,4
33,The Resident,US,1,21710,Michael O'Neill,2,False,Joshua Williams,other,2018,4
34,The Resident,US,1,20088,Jolene Purdy,1,False,Olivia Tan,other,2018,4
35,The Resident,US,1,1435965,April Parker-Jones,1,False,Jen Kars,other,2018,4
36,The Resident,US,1,1300838,Barry Alan Levine,2,False,Russell Waters,other,2018,4
37,The Resident,US,1,128207,Patricia French,1,False,Lorraine Gleason,other,2018,4
38,The Resident,US,1,2016401,Gerard Catus,2,False,Austin Guzman,other,2018,4
39,The Resident,US,1,1416332,Tara Jones,1,False,Angelica Barns,other,2018,4
40,The Resident,US,1,2016402,Ariel Jones,2,False,Luca Barns,other,2018,4
41,The Resident,US,1,2016404,Jade Fernandez,1,False,Ashley Garrity,other,2018,4
42,The Resident,US,1,1536821,Charles Green,2,False,Leonard Langdon,other,2018,4
43,The Resident,US,1,1391125,Al Mitchell,2,False,Wendal Mckee,other,2018,4
44,The Resident,US,1,2016403,Bethany Geaber,1,False,Isabel Sharp,other,2018,4
45,The Resident,US,1,2011389,Steven Reddington,2,False,Bradley Jenkins,other,2018,4
46,The Resident,US,1,1497467,Vince Foster,2,False,Paul Chu,other,2018,4
47,The Resident,US,1,1985574,Denitra Isler,1,False,Nurse Hundley,nurse,2018,4
48,The Resident,US,1,40259,Malcolm-Jamal Warner,2,False,AJ Austin,other,2018,4
49,The Resident,US,1,164114,Michael Hogan,2,False,Albert Nolan,other,2018,4
50,The Resident,US,1,2021224,Hannah Alline,1,False,Alice Kirkton,other,2018,4
51,The Resident,US,1,2021225,Tequila Whitfield,0,False,Cheryl Sullivan,other,2018,4
52,The Resident,US,1,182136,Roger Floyd,2,False,Anthony Ewen,other,2018,4
53,The Resident,US,1,1968775,Stephen Ruffin,2,False,Hal Woods,other,2018,4
54,The Resident,US,1,2021227,Lenny Paul Jacobson,2,False,Steve Berman,other,2018,4
55,The Resident,US,1,2021228,Rachel Harker,1,False,Joanne Jenkins,other,2018,4
56,The Resident,US,1,42905,Bill Kelly,2,False,Charles Jenkins,other,2018,4
57,The Resident,US,1,1635137,Patrick R. Walker,2,False,Micah Stevens,other,2018,5
58,The Resident,US,2,55547,Matt Czuchry,2,True,Conrad Hawkins,doctor (probably),2018,9
59,The Resident,US,2,964971,Manish Dayal,2,True,Devon Pravesh,doctor (probably),2018,9
60,The Resident,US,2,1787399,Shaunette Renée Wilson,1,True,Mina Okafor,doctor (probably),2018,9
61,The Resident,US,2,40259,Malcolm-Jamal Warner,2,True,AJ Austin,doctor (probably),2018,9
62,The Resident,US,2,21089,Bruce Greenwood,2,True,Randolph Bell,doctor (probably),2018,9
63,The Resident,US,2,84247,Emily VanCamp,1,True,Nicolette 'Nic' Nevin,doctor (probably),2018,9
64,The Resident,US,2,1870724,Emily Tosta,1,False,Joplin Bird,other,2018,9
65,The Resident,US,2,965205,Tate Ellington,2,False,Jason Thoms,other,2018,9
66,The Resident,US,2,137437,Cyrina Fiallo,1,False,Rachel Bird,other,2018,9
67,The Resident,US,2,2259126,Adrienne Whitney Papp,1,False,Melanie Thoms,other,2018,9
68,The Resident,US,2,2751889,Devon Hales,1,False,Lisa Logan,other,2018,9
69,The Resident,US,2,2414678,Michael Hogan,2,False,Albert Nolan,other,2018,9
70,The Resident,US,2,1635137,Patrick R. Walker,2,False,Micah Stevens,other,2018,9
71,The Resident,US,2,1497467,Vince Foster,2,False,Paul Chu,other,2018,9
72,The Resident,US,2,1718319,Jessica Miesel,1,False,Jessica Moore,other,2018,9
73,The Resident,US,2,1668533,Tasso Feldman,2,False,Irving Feldman,other,2018,9
74,The Resident,US,2,1503930,Brooke Jaye Taylor,1,False,Mrs. Alderwood,other,2018,10
75,The Resident,US,2,2414683,Bergman Freedman,2,False,Jack Alderwood,other,2018,10
76,The Resident,US,2,19208,Matt Malloy,2,False,Jake McCrary,other,2018,10
77,The Resident,US,2,1253194,Tasie Lawrence,1,False,Priya Nair,other,2018,10
78,The Resident,US,2,20381,Jenna Dewan,1,False,Julian Booth,other,2018,10
79,The Resident,US,2,1218131,Yaani King Mondschein,1,False,Brianna Candelora,other,2018,10
80,The Resident,US,2,1214213,Chris Myers,2,False,John Candelora,other,2018,10
81,The Resident,US,2,37823,Sonny Shroyer,2,False,Hugh Yokum,other,2018,10
82,The Resident,US,2,1383480,Atkins Estimond,2,False,Dr. Casey Mitchell,doctor,2018,10
83,The Resident,US,2,1766080,Nicholas Hayner,2,False,Big Dude,other,2018,10
84,The Resident,US,2,60228,Colin Hay,2,False,Rhys Barrett,other,2018,10
85,The Resident,US,2,191260,Tanc Sade,2,False,Josh Robinson,other,2018,10
86,The Resident,US,2,202654,Malaya Rivera Drew,1,False,Naomi,other,2018,10
87,The Resident,US,2,51381,Michael Weston,2,False,Gordon Page,other,2018,10
88,The Resident,US,2,12797,Glenn Morshower,2,False,Marshall Winthrop,other,2018,10
89,The Resident,US,2,156511,Emily Kuroda,1,False,Penny Oh,other,2018,10
90,The Resident,US,2,1969888,Ravi Cabot-Conyers,2,False,Jasper Barnett,other,2018,10
91,The Resident,US,2,59296,Daniella Alonso,1,False,Zoey Barnett,other,2018,10
92,The Resident,US,2,2207391,Evan Whitten,2,False,Henry Barnett,other,2018,10
93,The Resident,US,2,2011389,Steven Reddington,2,False,Bradley Jenkins,other,2018,10
94,The Resident,US,2,1242776,Bailey Noble,1,False,Laurie Dante,other,2018,10
95,The Resident,US,2,202691,Emil Beheshti,2,False,Arthur Franklin,other,2018,10
96,The Resident,US,2,78430,Julianna Guill,1,False,Jessie Nevin,other,2018,10
97,The Resident,US,2,19455,Julia Campbell,1,False,Vivian Betournay,other,2018,10
98,The Resident,US,2,1684023,Radek Lord,2,False,Grayson Betournay,other,2018,10
99,The Resident,US,2,1043304,Andy Milder,2,False,Stefan Kisic,other,2018,11
100,The Resident,US,2,105646,Linda Park,1,False,Janine Levasseur,other,2018,11
101,The Resident,US,2,164390,Joe Holt,2,False,Ernest Levasseur,other,2018,11
102,The Resident,US,2,25972,Melina Kanakaredes,1,False,Lane Hunter,other,2018,11
103,The Resident,US,2,76025,Paul Schackman,2,False,Todd Eckart,other,2018,11
104,The Resident,US,2,1809782,Zenobia Shroff,1,False,Himaya Pravesh,other,2018,11
105,The Resident,US,2,35518,Harry Groener,2,False,Bartholomew McGainn,other,2018,11
106,The Resident,US,2,223124,Ellen Wroe,1,False,Rose Lapierre,other,2018,11
107,The Resident,US,2,1447862,Elia Monte-Brown,1,False,Natalie Ramirez,other,2019,1
108,The Resident,US,2,149824,Kevin Christy,2,False,Roger Stanley,other,2019,1
109,The Resident,US,2,63676,Nikki SooHoo,1,False,Dr. Bai Liu,doctor,2019,1
110,The Resident,US,2,1384670,Miles Gaston Villanueva,2,False,Dr. Alec Shaw,doctor,2019,1
111,The Resident,US,2,1922617,Joy Rovaris,1,False,Aubrey,other,2019,1
