,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,Third Watch,US,1,102775,Coby Bell,2,True,Ty Davis Jr.,doctor (probably),1999,9
1,Third Watch,US,1,87118,Michael Beach,2,True,Doc Parker,doctor,1999,9
2,Third Watch,US,1,150972,Molly Price,1,True,Faith Yokas,doctor (probably),1999,9
3,Third Watch,US,1,21127,Bobby Cannavale,2,True,Bobby Caffey,doctor (probably),1999,9
4,Third Watch,US,1,55541,Eddie Cibrian,2,True,Jimmy Doherty,doctor (probably),1999,9
5,Third Watch,US,1,171522,Anthony Ruivivar,2,True,Carlos Nieto,doctor (probably),1999,9
6,Third Watch,US,1,33658,Skipp Sudduth,2,True,John Sullivan,doctor (probably),1999,9
7,Third Watch,US,1,17836,Kim Raver,1,True,Kim Zambrano,doctor (probably),1999,9
8,Third Watch,US,1,81373,Jason Wiles,2,True,Maurice Boscorelli,doctor (probably),1999,9
9,Third Watch,US,1,4439,Heather Simms,1,False,,other,1999,9
10,Third Watch,US,1,4445,Chris Bauer,2,False,,other,1999,9
11,Third Watch,US,1,18313,Michael Rispoli,2,False,,other,1999,9
12,Third Watch,US,1,65928,J.D. Williams,2,False,,other,1999,9
13,Third Watch,US,1,8986,James Rebhorn,2,False,,other,1999,9
14,Third Watch,US,1,1072037,Nathalie Paulding,1,False,,other,1999,9
15,Third Watch,US,1,80831,Derrick Simmons,2,False,,other,1999,9
16,Third Watch,US,1,74957,Andre Royo,2,False,,other,1999,9
17,Third Watch,US,1,3174,Richard Bright,2,False,,other,1999,9
18,Third Watch,US,1,159879,Joseph Lyle Taylor,2,False,,other,1999,9
19,Third Watch,US,1,60205,John Rothman,2,False,,other,1999,9
20,Third Watch,US,1,66094,Annie Golden,1,False,Amber Gastin,other,1999,9
21,Third Watch,US,1,58966,Deirdre Lovejoy,1,False,,other,1999,10
22,Third Watch,US,1,124645,Chad L. Coleman,2,False,,other,1999,10
23,Third Watch,US,1,52307,Mary Kay Adams,1,False,,other,1999,10
24,Third Watch,US,1,65797,Catherine Dent,1,False,,other,1999,10
25,Third Watch,US,1,58541,Matt Servitto,2,False,,other,1999,10
26,Third Watch,US,1,37026,Kate Norby,1,False,,other,1999,10
27,Third Watch,US,1,1217601,Seana Kofoed,1,False,,other,1999,10
28,Third Watch,US,1,118247,Lizette Carrión,1,False,,other,1999,10
29,Third Watch,US,1,155573,Irma St. Paule,1,False,,other,1999,10
30,Third Watch,US,1,92774,Lisa Vidal,1,False,,other,1999,10
31,Third Watch,US,1,4890,Brian Tarantina,2,False,,other,1999,10
32,Third Watch,US,1,13939,Ritchie Coster,2,False,,other,1999,11
33,Third Watch,US,1,62127,Lonette McKee,1,False,,other,1999,11
34,Third Watch,US,1,1217556,Bill Walsh,2,False,,other,1999,11
35,Third Watch,US,1,93217,Rebecca Harrell Tickell,1,False,,other,1999,11
36,Third Watch,US,1,288,Jon Seda,2,False,,other,1999,11
37,Third Watch,US,1,1217603,Karen Shallo,1,False,,other,1999,11
38,Third Watch,US,1,4012,Spencer Treat Clark,2,False,,other,1999,11
39,Third Watch,US,1,9633,Richard Hamilton,2,False,,other,1999,11
40,Third Watch,US,1,17490,Isiah Whitlock Jr.,2,False,,other,1999,11
41,Third Watch,US,1,61607,Adam LeFevre,2,False,,other,1999,11
42,Third Watch,US,1,170954,Johann Carlo,1,False,,other,1999,11
43,Third Watch,US,1,59739,Otto Sanchez,2,False,,other,1999,11
44,Third Watch,US,1,1217606,LeAnna Croom,1,False,,other,1999,11
45,Third Watch,US,1,170384,Kim Brockington,1,False,,other,1999,11
46,Third Watch,US,1,85867,Matt Mulhern,2,False,,other,1999,11
47,Third Watch,US,1,78139,Blythe Auffarth,1,False,,other,1999,11
48,Third Watch,US,1,10824,N'Bushe Wright,1,False,,other,1999,11
49,Third Watch,US,1,164473,Socorro Santiago,1,False,,other,1999,11
50,Third Watch,US,1,31839,Ruben Santiago-Hudson,2,False,,other,1999,11
51,Third Watch,US,1,11154,Matt Ross,2,False,,other,1999,11
52,Third Watch,US,1,1217608,Gerald Anthony,2,False,,other,1999,11
53,Third Watch,US,1,60633,Kevin Sussman,2,False,,other,1999,11
54,Third Watch,US,1,1217609,Alice Barden,1,False,,other,1999,11
55,Third Watch,US,1,60021,Christopher Evan Welch,2,False,,other,1999,11
56,Third Watch,US,1,164283,Nicholas J. Giangiulio,2,False,,other,1999,11
57,Third Watch,US,1,171252,George T. Odom,2,False,,other,1999,11
58,Third Watch,US,1,67515,Marilyn Chris,1,False,,other,1999,11
59,Third Watch,US,1,15531,Ossie Davis,2,False,,other,1999,11
60,Third Watch,US,1,84481,Courtney Jines,1,False,,other,2000,1
61,Third Watch,US,1,1217612,Jerome Preston Bates,2,False,,other,2000,1
62,Third Watch,US,1,37205,David Vadim,2,False,,other,2000,1
63,Third Watch,US,1,4199,Neal Jones,2,False,,other,2000,1
64,Third Watch,US,1,1216182,Steve Ryan,2,False,,other,2000,1
65,Third Watch,US,1,18999,J.K. Simmons,2,False,,other,2000,1
66,Third Watch,US,1,171673,Kathleen McNenny,1,False,,other,2000,1
67,Third Watch,US,1,6174,Jesse Doran,2,False,,other,2000,1
68,Third Watch,US,1,167565,Ron McLarty,2,False,,other,2000,1
69,Third Watch,US,1,1217614,Deedee Magno,1,False,,other,2000,1
