,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,Virgin River,US,1,58369,Alexandra Breckenridge,1,True,Melinda Monroe,doctor (probably),2019,12
1,Virgin River,US,1,26291,Martin Henderson,2,True,Jack Sheridan,doctor (probably),2019,12
2,Virgin River,US,1,37696,Colin Lawrence,2,True,"John ""Preacher"" Middleton",doctor (probably),2019,12
3,Virgin River,US,1,1628691,Lauren Hammersley,1,True,Charmaine Roberts,doctor (probably),2019,12
4,Virgin River,US,1,21561,Tim Matheson,2,True,"Vernon ""Doc"" Mullins",doctor,2019,12
5,Virgin River,US,1,77865,Benjamin Hollingsworth,2,True,Dan Brady,doctor (probably),2019,12
6,Virgin River,US,1,1734,Annette O'Toole,1,True,Hope McCrea,doctor (probably),2019,12
7,Virgin River,US,1,1111852,Jenny Cooper,1,True,Joey Barnes,doctor (probably),2019,12
8,Virgin River,US,1,2802842,Kate Williamson,1,False,Polly,other,2019,12
9,Virgin River,US,1,2118115,Julien Durant,2,False,Guy,other,2019,12
10,Virgin River,US,1,1782220,Grayson Maxwell Gurnsey,2,False,Ricky,other,2019,12
11,Virgin River,US,1,69574,Lexa Doig,1,False,Paige Lassiter,other,2019,12
12,Virgin River,US,1,44296,Gwynyth Walsh,1,False,Jo Ellen,other,2019,12
13,Virgin River,US,1,19154,Daniel Gillies,2,False,Mark Monroe,other,2019,12
14,Virgin River,US,1,2802846,Julien Bruce,2,False,Barista,other,2019,12
15,Virgin River,US,1,2511338,Emma Oliver,1,False,Younger Mel,other,2019,12
16,Virgin River,US,1,1832985,Alexandra Perry,1,False,Younger Joey,other,2019,12
17,Virgin River,US,1,20188,Lynda Boyd,1,False,Lilly,other,2019,12
18,Virgin River,US,1,25386,Ian Tracey,2,False,Jimmy,other,2019,12
19,Virgin River,US,1,74678,Chad Rook,2,False,Spencer,other,2019,12
20,Virgin River,US,1,86528,Nicola Cavendish,1,False,Connie,other,2019,12
21,Virgin River,US,1,112639,Patrick Keating,2,False,Charlie,other,2019,12
22,Virgin River,US,1,2802836,Chase Petriw,2,False,Christopher,other,2019,12
23,Virgin River,US,1,27110,Malcolm Stewart,2,False,Dr. Grewe,doctor,2019,12
24,Virgin River,US,1,184571,Lossen Chambers,1,False,Terry,other,2019,12
25,Virgin River,US,1,1050300,Therese Plummer,1,False,Caroline,other,2019,12
26,Virgin River,US,1,1636553,Wolsey Brooks,2,False,Medic,medic,2019,12
27,Virgin River,US,1,155282,David Cubitt,2,False,Calvin,other,2019,12
28,Virgin River,US,1,1632954,Trevor Lerner,2,False,Bert Gordon,other,2019,12
29,Virgin River,US,1,2391937,Nicolette Pearse,1,False,Maxine,other,2019,12
30,Virgin River,US,1,2650064,Evan Ferraton,2,False,Man with Rifle,other,2019,12
31,Virgin River,US,1,98411,Donal Thoms-Cappello,2,False,Tourist #1,other,2019,12
32,Virgin River,US,1,1196041,Rohan Campbell,2,False,Lonergan,other,2019,12
33,Virgin River,US,1,26086,Michael Shanks,2,False,Wes,other,2019,12
34,Virgin River,US,1,114898,Marc-Anthony Massiah,2,False,DJ,other,2019,12
35,Virgin River,US,1,51800,Teryl Rothery,1,False,Muriel,other,2019,12
