,show_name,origin,season_number,actor_id,actor_name,gender,main_cast,character_name,character_occupation,year,month
0,Yong Pal,KR,1,929574,Joo Won,2,True,Kim Tae-hyeon,doctor (probably),2015,8
1,Yong Pal,KR,1,1237976,Kim Tae-hee,1,True,Han Yeo-jin,doctor (probably),2015,8
2,Yong Pal,KR,1,1226340,Jo Hyun-jae,2,True,Han Do-joon,doctor (probably),2015,8
3,Yong Pal,KR,1,124394,Chae Jung-an,1,True,Lee Chae-young,doctor (probably),2015,8
4,Yong Pal,KR,1,112785,Jung Woong-in,2,True,Chief Lee,doctor (probably),2015,8
5,Yong Pal,KR,1,1492052,Stephanie Lee,1,True,Cynthia Park,doctor (probably),2015,8
6,Yong Pal,KR,1,1428091,Jo Bok-rae,2,True,Park Tae-yong,doctor (probably),2015,8
7,Yong Pal,KR,1,1646069,Park Hye-su,1,True,Kim So-hyeon,doctor (probably),2015,8
8,Yong Pal,KR,1,1418578,Kang Ji-woo,1,True,Han Yeo-jin (child),doctor (probably),2015,8
9,Yong Pal,KR,1,4265,Choi Min-I,2,True,Sung-Hoon,doctor (probably),2015,8
10,Yong Pal,KR,1,573797,Jeong Dong-gyoo,2,True,Representative Choi,doctor (probably),2015,8
11,Yong Pal,KR,1,1607301,Choi Byung-mo ,2,True,Han Do-Joon's secretary,doctor (probably),2015,8
12,Yong Pal,KR,1,587632,Kim Mi-kyeong,1,True,Head Nurse,nurse,2015,8
13,Yong Pal,KR,1,1676565,Ahn Se-ha,2,True,Man-Sik,doctor (probably),2015,8
14,Yong Pal,KR,1,1914405,Moon Ji-In,1,True,Nurse Song,nurse,2015,8
15,Yong Pal,KR,1,2033111,Bae Hae-sun,1,True,Nurse Hwang,nurse,2015,8
